rank,ts_code,name,strategy_tag,management,price,quote_date,quote_time,div_cash_ttm,dividend_yield_ttm,hist_yield_max,hist_yield_max_date,hist_yield_obs,yield_pctile_all,yield_pctile_1y,yield_pctile_2y,yield_pctile_5y,yield_pctile_10y,yield_to_hist_max,yield_position_label,div_count_ttm,div_cash_3y,div_count_3y,div_years_3y,last_div_date,amount_cny,m_fee,c_fee,total_fee_rate,unit_nav,nav_date,premium_rate,list_date,age_years,score,yield_rank,liquidity_rank,fee_rank,premium_rank,age_rank,benchmark,quote_source,custodian,fund_type,found_date,due_date,issue_date,delist_date,issue_amount,duration_year,p_value,min_amount,exp_return,status,invest_type,type,trustee,purc_startdate,redm_startdate,market,list_ts,accum_nav,net_asset,total_netasset,quote_name,open,pre_close,high,low,volume_shares,stability_score,premium_quality
1,515180.SH,易方达中证红利ETF,中证红利,易方达基金管理有限公司,1.272,2026-06-30,13:53:33,0.061,0.04795597484276729,0.09349289454001498,20241021,1375,0.9156363636363636,1.0,0.9254658385093167,0.9039735099337748,0.9156363636363636,0.5129371069182388,股息率历史高位/偏便宜,1,0.186,3,3,20251021,295381058.0,0.15,0.05,0.002,1.2998,20260629,-0.0213879058316665,20191220,6.52703627652293,87.21875,0.8875,0.95,0.86875,0.475,0.9375,中证红利指数收益率×100%,sina_realtime,中国银行股份有限公司,股票型,20191126,,20191030,,9.9264,,1.0,0.1,,L,被动指数型,股票型,,20191220,20191220,E,2019-12-20,1.6318,,,红利ETF易方达,1.294,1.299,1.296,1.27,231265992,1.0,-0.0213879058316665
2,515080.SH,招商中证红利ETF,中证红利,招商基金管理有限公司,1.404,2026-06-30,13:53:31,0.07,0.049857549857549865,0.06785714285714287,20230626,1352,0.7958579881656804,0.9794238683127572,0.8429752066115702,0.78099173553719,0.7958579881656804,0.7347428400059979,股息率中高位,4,0.205,11,4,20260618,387704588.0,0.2,0.1,0.0030000000000000005,1.4351,20260629,-0.021670963695909817,20191227,6.507871321013004,86.0625,0.9125,0.975,0.725,0.45,0.925,中证红利指数收益率×100%,sina_realtime,上海浦东发展银行股份有限公司,股票型,20191128,,20191021,,3.4015,,1.0,0.1,,L,被动指数型,股票型,,20191227,20191227,E,2019-12-27,1.8551,,,中证红利ETF招商,1.432,1.436,1.433,1.402,274502800,1.0,-0.021670963695909817
3,159307.SZ,博时中证红利低波动100ETF,中证红利 / 红利低波,博时基金管理有限公司,0.947,2026-06-30,13:53:33,0.0506,0.05343189017951426,0.063773965691221,20260618,428,0.9602803738317757,0.9300411522633745,0.9602803738317757,0.9602803738317757,0.9602803738317757,0.8378323286059909,股息率历史高位/偏便宜,4,0.10120000000000001,8,3,20260612,87089775.1,0.15,0.05,0.002,0.9652,20260629,-0.018856195607128035,20240425,2.1793292265571527,85.71875,0.9375,0.8,0.86875,0.8,0.5875,中证红利低波动100指数收益率×100%,sina_realtime,中国银行股份有限公司,股票型,20240416,,20240325,,2.459,,1.0,0.1,,L,被动指数型,股票型,,20240425,20240425,E,2024-04-25,1.0664,,,100红利,0.962,0.966,0.963,0.945,91425700,1.0,-0.018856195607128035
4,563020.SH,易方达中证红利低波动ETF,中证红利 / 红利低波,易方达基金管理有限公司,1.059,2026-06-30,13:53:32,0.048,0.0453257790368272,0.05045492142266336,20250613,494,0.97165991902834,0.9629629629629629,0.9710743801652892,0.97165991902834,0.97165991902834,0.8983420795987553,股息率历史高位/偏便宜,4,0.109,9,3,20260610,266176045.0,0.15,0.05,0.002,1.0806,20260629,-0.019988895058301037,20231214,2.543463381245722,85.40625,0.85,0.9375,0.86875,0.675,0.7125,中证红利低波动指数收益率×100%,sina_realtime,招商银行股份有限公司,股票型,20231206,,20231016,,2.4691,,1.0,0.1,,L,被动指数型,股票型,,20231214,20231214,E,2023-12-14,1.1896,,,红利低波ETF易方达,1.08,1.082,1.08,1.057,250234610,1.0,-0.019988895058301037
5,515450.SH,南方标普中国A股大盘红利低波50ETF,红利低波 / A股红利,南方基金管理股份有限公司,1.307,2026-06-30,13:53:33,0.075,0.057383320581484314,0.17025712300208476,20241217,1099,0.5586897179253867,0.5185185185185185,0.2603305785123967,0.5586897179253867,0.5586897179253867,0.3370391768030855,股息率中位,2,0.31999999999999995,5,3,20251215,134020466.0,0.5,0.1,0.006,1.3353,20260629,-0.021193739234628972,20200226,6.3408624229979464,79.96875,0.9625,0.8875,0.29375,0.5,0.9125,标普中国A股大盘红利低波50指数×100%,sina_realtime,中国农业银行股份有限公司,股票型,20200117,,20191223,,4.7346,,1.0,0.1,,L,被动指数型,股票型,,20200226,20200226,E,2020-02-26,1.7653,,,红利低波50ETF南方,1.329,1.335,1.331,1.305,102036300,1.0,-0.021193739234628972
6,510880.SH,华泰柏瑞上证红利ETF,上证红利,华泰柏瑞基金管理有限公司,2.903,2026-06-30,13:53:31,0.143,0.04925938684119876,0.0932286555446516,20260121,4129,0.8987648341002664,0.9958847736625515,0.993801652892562,0.939469320066335,0.8285123966942148,0.5283717388545426,股息率历史高位/偏便宜,1,0.41600000000000004,3,3,20260121,654446681.0,0.5,0.1,0.006,2.9782,20260629,-0.02525015109797868,20070118,19.446954140999317,78.03125,0.9,0.9875,0.29375,0.2375,1.0,上海证券交易所上证红利指数×100%,sina_realtime,招商银行股份有限公司,股票型,20061117,,20061030,,22.2299,,1.0,0.1,,L,被动指数型,股票型,,20070118,20070118,E,2007-01-18,2.9843,,,红利ETF华泰柏瑞,2.97,2.972,2.97,2.901,223850516,1.0,-0.02525015109797868
7,159545.SZ,易方达恒生港股通高股息低波动ETF,高股息 / 港股通高股息,易方达基金管理有限公司,1.195,2026-06-30,13:53:33,0.053,0.04435146443514644,0.04921394395078605,20250814,452,0.9690265486725663,0.9876543209876543,0.9690265486725663,0.9690265486725663,0.9690265486725663,0.9011971176197118,股息率历史高位/偏便宜,4,0.111,8,3,20260515,121017545.654,0.15,0.05,0.002,1.2273,20260629,-0.02631793367554791,20240415,2.206707734428474,77.46875,0.8375,0.8625,0.86875,0.175,0.6125,恒生港股通高股息低波动指数收益率(使用估值汇率折算)×100%,sina_realtime,招商银行股份有限公司,股票型,20240327,,20240220,,4.132,,1.0,0.1,,L,被动指数型,股票型,,20240415,20240415,E,2024-04-15,1.3383,,,港股红利,1.225,1.236,1.226,1.193,100895300,1.0,-0.02631793367554791
8,515100.SH,景顺长城中证红利低波动100ETF,中证红利 / 红利低波,景顺长城基金管理有限公司,1.297,2026-06-30,13:53:32,0.1053,0.08118735543562067,0.3581967213114754,20240913,365,0.336986301369863,1.0,0.5103734439834025,0.336986301369863,0.336986301369863,0.22665577490035976,股息率中低位,1,0.5423,2,2,20251223,84978139.0,0.5,0.1,0.006,1.323,20260629,-0.019652305366591127,20200703,5.990417522245037,76.57291666666667,0.975,0.775,0.29375,0.7,0.8875,中证红利低波动100指数收益率×100%,sina_realtime,交通银行股份有限公司,股票型,20200522,,20200427,,12.7694,,1.0,0.1,,L,被动指数型,股票型,,20200703,20200703,E,2020-07-03,1.8653,,,红利低波100ETF景顺,1.321,1.324,1.321,1.295,65199299,0.6666666666666666,-0.019652305366591127
9,515890.SH,博时中证红利ETF,中证红利,博时基金管理有限公司,1.306,2026-06-30,13:53:33,0.0612,0.04686064318529862,0.13256006628003314,20221226,916,0.5731441048034934,1.0,0.8537735849056604,0.5731441048034934,0.5731441048034934,0.35350497702909645,股息率中位,1,0.1724,4,3,20251223,8634084.0,0.15,0.05,0.002,1.3346,20260629,-0.021429641840251756,20200420,6.193018480492813,76.09375,0.8625,0.4625,0.86875,0.4625,0.9,中证红利指数收益率×100%,sina_realtime,招商银行股份有限公司,股票型,20200320,,20200224,,3.1244,,1.0,0.1,,L,被动指数型,股票型,,20200420,20200420,E,2020-04-20,1.667,,,红利ETF博时,1.329,1.335,1.332,1.304,6572700,1.0,-0.021429641840251756
10,513530.SH,华泰柏瑞中证港股通高股息投资ETF(QDII),高股息 / 港股通高股息,华泰柏瑞基金管理有限公司,1.426,2026-06-30,13:53:32,0.12999999999999998,0.09116409537166899,0.09475679090334807,20260616,253,0.9920948616600791,0.9917695473251029,0.9920948616600791,0.9920948616600791,0.9920948616600791,0.9620850864890134,股息率历史高位/偏便宜,12,0.15000000000000002,13,2,20260615,217625565.0,0.5,0.1,0.006,1.462,20260629,-0.024623803009575895,20220425,4.180698151950718,75.88541666666667,0.9875,0.925,0.29375,0.35,0.825,中证港股通高股息投资指数收益率×100%,sina_realtime,交通银行股份有限公司,股票型,20220408,,20220224,,3.0394,,1.0,0.1,,L,被动指数型,股票型,,20220425,20220425,E,2022-04-25,1.612,,,港股通红利ETF华泰柏瑞,1.462,1.462,1.463,1.421,151824107,0.6666666666666666,-0.024623803009575895
