ts_code,quote_name,open,pre_close,price,high,low,volume_shares,amount_cny,quote_date,quote_time,quote_source
560720.SH,红利低波100ETF工银,0.924,0.925,0.918,0.925,0.913,7451900,6847392.0,2026-06-26,13:28:28,sina_realtime
560250.SH,红利质量ETF富国,0.94,0.943,0.932,0.94,0.917,6266900,5791237.0,2026-06-26,13:28:28,sina_realtime
159188.SZ,景顺红利,0.89,0.897,0.885,0.891,0.882,1291014,1144979.804,2026-06-26,13:28:21,sina_realtime
515460.SH,红利质量ETF南方,0.867,0.867,0.854,0.883,0.845,19780100,16854176.0,2026-06-26,13:28:27,sina_realtime
560370.SH,红利质量ETF易方达,0.865,0.865,0.842,0.865,0.838,4414300,3723474.0,2026-06-26,13:28:24,sina_realtime
563510.SH,A500红利低波ETF易方达,0.924,0.924,0.916,0.925,0.91,9098700,8337949.0,2026-06-26,13:28:26,sina_realtime
563590.SH,A500红利低波动ETF国寿,0.91,0.913,0.902,0.912,0.902,357100,322729.0,2026-06-26,13:28:27,sina_realtime
563980.SH,800红利低波ETF鑫元,0.913,0.915,0.908,0.914,0.904,2797700,2535649.0,2026-06-26,13:28:27,sina_realtime
563890.SH,国企红利ETF创金合信,0.969,0.975,0.964,0.969,0.962,438200,423408.0,2026-06-26,13:28:29,sina_realtime
563690.SH,红利低波ETF永赢,0.948,0.942,0.94,0.948,0.933,256800,240591.0,2026-06-26,13:28:28,sina_realtime
560570.SH,A500红利ETF国联安,0.933,0.933,0.927,0.933,0.919,17874100,16506717.0,2026-06-26,13:28:23,sina_realtime
159296.SZ,A500红利,0.927,0.927,0.92,0.927,0.915,3396802,3128246.438,2026-06-26,13:28:24,sina_realtime
561680.SH,A500红利低波ETF平安,0.921,0.925,0.919,0.923,0.914,1004400,922455.0,2026-06-26,13:28:28,sina_realtime
159228.SZ,红利长城,0.956,0.957,0.952,0.956,0.944,470229,445332.676,2026-06-26,13:28:21,sina_realtime
563700.SH,红利价值ETF易方达,1.006,1.006,0.998,1.011,0.992,8215331,8223532.0,2026-06-26,13:28:27,sina_realtime
159207.SZ,高股息,1.081,1.081,1.072,1.082,1.064,85028300,91114976.2,2026-06-26,13:28:27,sina_realtime
159209.SZ,红利质量,1.093,1.095,1.077,1.094,1.064,78844101,84649721.775,2026-06-26,13:28:27,sina_realtime
159336.SZ,诚通红利,1.112,1.114,1.098,1.124,1.086,15460000,16920306.3,2026-06-26,13:28:27,sina_realtime
159355.SZ,800红利,0.979,0.979,0.972,0.979,0.968,2091000,2034415.3,2026-06-26,13:28:21,sina_realtime
530880.SH,红利国企ETF银河,0.984,0.985,0.969,0.984,0.963,884900,859708.0,2026-06-26,13:28:23,sina_realtime
159332.SZ,央企红利,1.108,1.106,1.095,1.108,1.086,696707,763418.779,2026-06-26,13:28:21,sina_realtime
159525.SZ,红利低波,1.015,1.012,1.012,1.016,1.005,11004800,11113264.6,2026-06-26,13:28:27,sina_realtime
563180.SH,高股息ETF银华,1.039,1.045,1.034,1.044,1.025,4118600,4256315.0,2026-06-26,13:28:29,sina_realtime
510720.SH,红利国企ETF国泰,0.936,0.935,0.922,0.94,0.915,262051600,242373730.0,2026-06-26,13:28:27,sina_realtime
159307.SZ,100红利,0.966,0.967,0.958,0.966,0.951,115990900,111145289.8,2026-06-26,13:28:27,sina_realtime
560520.SH,红利低波100ETF大成,1.021,1.031,1.025,1.031,1.018,144800,148257.0,2026-06-26,13:28:28,sina_realtime
560150.SH,红利低波ETF泰康,1.044,1.047,1.041,1.047,1.037,6343200,6609469.0,2026-06-26,13:28:28,sina_realtime
159589.SZ,红利广发,1.015,1.015,1.0,1.015,0.994,4828400,4841717.2,2026-06-26,13:28:27,sina_realtime
159581.SZ,红利基金,0.991,0.991,0.978,0.992,0.971,34918300,34287824.5,2026-06-26,13:28:27,sina_realtime
159547.SZ,低波红利,1.11,1.112,1.111,1.115,1.103,68787745,76169910.87,2026-06-26,13:28:27,sina_realtime
562060.SH,标普A股红利ETF华宝,0.574,0.579,0.574,0.578,0.569,85049900,48756535.0,2026-06-26,13:28:27,sina_realtime
563020.SH,红利低波ETF易方达,1.081,1.081,1.08,1.083,1.072,168515700,181408112.0,2026-06-26,13:28:28,sina_realtime
159549.SZ,红利100,1.118,1.115,1.103,1.118,1.097,3756700,4140561.3,2026-06-26,13:28:27,sina_realtime
560020.SH,红利ETF汇添富,1.037,1.035,1.018,1.046,1.01,2236800,2283986.0,2026-06-26,13:28:27,sina_realtime
561060.SH,国企红利ETF华安,1.07,1.07,1.059,1.071,1.057,1023500,1086453.0,2026-06-26,13:28:27,sina_realtime
159515.SZ,国企红利,1.09,1.091,1.08,1.09,1.076,2248000,2430986.9,2026-06-26,13:28:27,sina_realtime
561580.SH,央企红利ETF华泰柏瑞,1.123,1.125,1.112,1.127,1.105,45153084,50277082.0,2026-06-26,13:28:23,sina_realtime
159758.SZ,红利50,1.084,1.084,1.066,1.084,1.055,139019900,149026844.5,2026-06-26,13:28:27,sina_realtime
159708.SZ,红利ETF,0.8,0.8,0.789,0.803,0.781,13092700,10315837.0,2026-06-26,13:28:27,sina_realtime
515100.SH,红利低波100ETF景顺,1.318,1.32,1.313,1.324,1.302,59768300,78319429.0,2026-06-26,13:28:27,sina_realtime
515890.SH,红利ETF博时,1.355,1.349,1.333,1.355,1.325,5652600,7546831.0,2026-06-26,13:28:28,sina_realtime
515450.SH,红利低波50ETF南方,1.334,1.334,1.328,1.336,1.315,106056100,140550898.0,2026-06-26,13:28:27,sina_realtime
515080.SH,中证红利ETF招商,1.455,1.455,1.436,1.456,1.426,263007157,378388788.0,2026-06-26,13:28:27,sina_realtime
515180.SH,红利ETF易方达,1.318,1.318,1.301,1.32,1.291,270828200,352556274.0,2026-06-26,13:28:27,sina_realtime
512530.SH,沪深300红利ETF建信,1.474,1.475,1.467,1.488,1.459,3487200,5116375.0,2026-06-26,13:28:23,sina_realtime
515300.SH,300红利低波ETF嘉实,1.203,1.204,1.2,1.208,1.191,82340700,98766391.0,2026-06-26,13:28:26,sina_realtime
512890.SH,红利低波ETF华泰柏瑞,1.086,1.086,1.087,1.091,1.079,448005963,485475920.0,2026-06-26,13:28:28,sina_realtime
159905.SZ,深红利,1.655,1.657,1.638,1.665,1.621,12712000,20874068.2,2026-06-26,13:28:27,sina_realtime
510880.SH,红利ETF华泰柏瑞,3.006,3.006,2.972,3.013,2.949,259569633,771995648.0,2026-06-26,13:28:27,sina_realtime
