ts_code,name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,benchmark,status,invest_type,type,trustee,purc_startdate,redm_startdate,market,list_ts,strategy_tag
560720.SH,工银瑞信中证红利低波动100ETF,工银瑞信基金管理有限公司,国信证券股份有限公司,股票型,20260521,,20260605,20260506,,2.7855,0.3,0.1,,1.0,0.1,,中证红利低波动100指数收益率×100%,L,,股票型,,,,E,2026-06-05,中证红利 / 红利低波
560250.SH,富国中证全指红利质量ETF,富国基金管理有限公司,兴业银行股份有限公司,股票型,20260513,,20260522,20260506,,3.6883,0.5,0.1,,1.0,0.1,,中证全指红利质量指数收益率×100%,L,,股票型,,20260522,20260522,E,2026-05-22,红利质量
159188.SZ,景顺长城标普中国A股红利100ETF,景顺长城基金管理有限公司,中信建投证券股份有限公司,股票型,20260401,,20260410,20260316,,3.166,0.5,0.1,,1.0,0.1,,标普中国A股红利100指数收益率×100%,L,被动指数型,股票型,,20260410,20260410,E,2026-04-10,A股红利
515460.SH,南方中证全指红利质量ETF,南方基金管理股份有限公司,中信证券股份有限公司,股票型,20260304,,20260316,20260226,,5.1409,0.15,0.05,,1.0,0.1,,中证全指红利质量指数收益率×100%,L,被动指数型,股票型,,20260316,20260316,E,2026-03-16,红利质量
560370.SH,易方达中证全指红利质量ETF,易方达基金管理有限公司,招商银行股份有限公司,股票型,20260210,,20260226,20260202,,2.1608,0.15,0.05,,1.0,0.1,,中证全指红利质量指数收益率×100%,L,被动指数型,股票型,,20260226,20260226,E,2026-02-26,红利质量
563510.SH,易方达中证A500红利低波动ETF,易方达基金管理有限公司,中国工商银行股份有限公司,股票型,20251117,,20251201,20251106,,6.9154,0.15,0.05,,1.0,0.1,,中证A500红利低波动指数收益率×100%,L,被动指数型,股票型,,20251201,20251201,E,2025-12-01,红利低波
563590.SH,国寿安保中证A500红利低波动ETF,国寿安保基金管理有限公司,江苏银行股份有限公司,股票型,20251027,,20251105,20251009,,3.8494,0.5,0.1,,1.0,0.1,,中证A500红利低波动指数收益率×100%,L,被动指数型,股票型,,20251105,20251105,E,2025-11-05,红利低波
563980.SH,鑫元中证800红利低波动ETF,鑫元基金管理有限公司,交通银行股份有限公司,股票型,20251024,,20251107,20251013,,2.2197,0.5,0.1,,1.0,0.1,,中证800红利低波动指数收益率×100%,L,被动指数型,股票型,,20251107,20251107,E,2025-11-07,红利低波
563890.SH,创金合信中证国有企业红利ETF,创金合信基金管理有限公司,广发证券股份有限公司,股票型,20250924,,20251017,20250915,,4.4484,0.45,0.1,,1.0,0.1,,中证国有企业红利指数收益率×100%,L,被动指数型,股票型,,20251017,20251017,E,2025-10-17,红利/股息
563690.SH,永赢中证红利低波动ETF,永赢基金管理有限公司,中国工商银行股份有限公司,股票型,20250923,,20251010,20250915,,2.7188,0.5,0.1,,1.0,0.1,,中证红利低波动指数收益率×100%,L,被动指数型,股票型,,20251010,20251010,E,2025-10-10,中证红利 / 红利低波
560570.SH,国联安中证A500红利低波动ETF,国联安基金管理有限公司,招商证券股份有限公司,股票型,20250910,,20250918,20250825,,12.4654,0.35,0.05,,1.0,0.1,,中证A500红利低波动指数收益率×100%,L,被动指数型,股票型,,20250918,20250918,E,2025-09-18,红利低波
159296.SZ,华宝中证A500红利低波动ETF,华宝基金管理有限公司,中国建设银行股份有限公司,股票型,20250827,,20250904,20250818,,2.8704,0.5,0.1,,1.0,0.1,,中证A500红利低波动指数收益率×100%,L,被动指数型,股票型,,20250904,20250904,E,2025-09-04,红利低波
561680.SH,平安中证A500红利低波动ETF,平安基金管理有限公司,中国建设银行股份有限公司,股票型,20250827,,20250905,20250811,,8.0317,0.5,0.1,,1.0,0.1,,中证A500红利低波动指数收益率×100%,L,被动指数型,股票型,,20250905,20250905,E,2025-09-05,红利低波
159228.SZ,长城中证红利低波动100ETF,长城基金管理有限公司,中国农业银行股份有限公司,股票型,20250605,,20250618,20250526,,3.2021,0.5,0.1,,1.0,0.1,,中证红利低波动100指数收益率×100%,L,被动指数型,股票型,,20250618,20250618,E,2025-06-18,中证红利 / 红利低波
563700.SH,易方达中证红利价值ETF,易方达基金管理有限公司,兴业银行股份有限公司,股票型,20250416,,20250428,20250331,,3.5515,0.15,0.05,,1.0,0.1,,中证红利价值指数收益率×100%,L,被动指数型,股票型,,20250428,20250428,E,2025-04-28,中证红利 / 红利价值
159207.SZ,广发中证智选高股息策略ETF,广发基金管理有限公司,上海浦东发展银行股份有限公司,股票型,20250327,,20250409,20250303,,4.8098,0.15,0.05,,1.0,0.1,,中证智选高股息策略指数收益率×100%,L,被动指数型,股票型,,20250409,20250409,E,2025-04-09,高股息
159209.SZ,招商中证全指红利质量ETF,招商基金管理有限公司,财通证券股份有限公司,股票型,20250312,,20250325,20250224,,3.3764,0.15,0.05,,1.0,0.1,,中证全指红利质量指数收益率×100%,L,被动指数型,股票型,,20250325,20250325,E,2025-03-25,红利质量
159336.SZ,融通中证诚通央企红利ETF,融通基金管理有限公司,中国农业银行股份有限公司,股票型,20250122,,20250212,20250102,,5.3991,0.3,0.05,,1.0,0.1,,中证诚通央企红利指数收益率×100%,L,被动指数型,股票型,,20250212,20250212,E,2025-02-12,央企红利
159355.SZ,华宝中证800红利低波动ETF,华宝基金管理有限公司,招商银行股份有限公司,股票型,20241125,,20241203,20241028,,2.2023,0.5,0.1,,1.0,0.1,,中证800红利低波动指数收益率×100%,L,被动指数型,股票型,,20241203,20241203,E,2024-12-03,红利低波
530880.SH,银河上证国有企业红利ETF,银河基金管理有限公司,广发证券股份有限公司,股票型,20241030,,20241112,20240902,,5.6184,0.45,0.1,,1.0,0.1,,上证国有企业红利指数收益率×100%,L,被动指数型,股票型,,20241112,20241112,E,2024-11-12,红利/股息
159332.SZ,富国中证中央企业红利ETF,富国基金管理有限公司,国信证券股份有限公司,股票型,20240716,,20240801,20240705,,4.8752,0.15,0.05,,1.0,0.1,,中证中央企业红利指数收益率×100%,L,被动指数型,股票型,,20240801,20240801,E,2024-08-01,红利/股息
159525.SZ,富国中证红利低波动ETF,富国基金管理有限公司,中国光大银行股份有限公司,股票型,20240507,,20240520,20240207,,7.9524,0.15,0.05,,1.0,0.1,,中证红利低波动指数收益率×100%,L,被动指数型,股票型,,20240520,20240520,E,2024-05-20,中证红利 / 红利低波
563180.SH,银华中证高股息策略ETF,银华基金管理股份有限公司,中国建设银行股份有限公司,股票型,20240506,,20240514,20240424,,2.4342,0.5,0.1,,1.0,0.1,,中证高股息策略指数收益率×100%,L,被动指数型,股票型,,20240514,20240514,E,2024-05-14,高股息
510720.SH,国泰上证国有企业红利ETF,国泰基金管理有限公司,中信建投证券股份有限公司,股票型,20240430,,20240515,20240422,,3.0277,0.5,0.1,,1.0,0.1,,上证国有企业红利指数收益率×100%,L,被动指数型,股票型,,20240515,20240515,E,2024-05-15,红利/股息
159307.SZ,博时中证红利低波动100ETF,博时基金管理有限公司,中国银行股份有限公司,股票型,20240416,,20240425,20240325,,2.459,0.15,0.05,,1.0,0.1,,中证红利低波动100指数收益率×100%,L,被动指数型,股票型,,20240425,20240425,E,2024-04-25,中证红利 / 红利低波
560520.SH,大成中证红利低波动100ETF,大成基金管理有限公司,中信建投证券股份有限公司,股票型,20240408,,20240418,20240328,,4.0175,0.15,0.05,,1.0,0.1,,中证红利低波动100指数收益率×100%,L,被动指数型,股票型,,20240418,20240418,E,2024-04-18,中证红利 / 红利低波
560150.SH,泰康中证红利低波动ETF,泰康基金管理有限公司,招商银行股份有限公司,股票型,20240315,,20240408,20240226,,9.0128,0.4,0.1,,1.0,0.1,,中证红利低波动指数收益率×100%,L,被动指数型,股票型,,20240408,20240408,E,2024-04-08,中证红利 / 红利低波
159589.SZ,广发中证红利ETF,广发基金管理有限公司,招商银行股份有限公司,股票型,20240314,,20240326,20240304,,5.1059,0.15,0.05,,1.0,0.1,,中证红利指数收益率×100%,L,被动指数型,股票型,,20240326,20240326,E,2024-03-26,中证红利
159581.SZ,万家中证红利ETF,万家基金管理有限公司,中国建设银行股份有限公司,股票型,20240306,,20240315,20240226,,3.1723,0.5,0.1,,1.0,0.1,,中证红利指数收益率×100%,L,被动指数型,股票型,,20240315,20240315,E,2024-03-15,中证红利
159547.SZ,华夏中证红利低波动ETF,华夏基金管理有限公司,中信银行股份有限公司,股票型,20240125,,20240206,20240108,,3.0529,0.15,0.05,,1.0,0.1,,中证红利低波动指数收益率×100%,L,被动指数型,股票型,,20240206,20240206,E,2024-02-06,中证红利 / 红利低波
562060.SH,华宝标普中国A股红利机会ETF,华宝基金管理有限公司,中国银行股份有限公司,股票型,20231208,,20231228,20231120,,7.859,0.5,0.1,,1.0,0.1,,标普中国A股红利机会指数收益率×100%,L,被动指数型,股票型,,20231228,20231228,E,2023-12-28,A股红利
563020.SH,易方达中证红利低波动ETF,易方达基金管理有限公司,招商银行股份有限公司,股票型,20231206,,20231214,20231016,,2.4691,0.15,0.05,,1.0,0.1,,中证红利低波动指数收益率×100%,L,被动指数型,股票型,,20231214,20231214,E,2023-12-14,中证红利 / 红利低波
159549.SZ,天弘中证红利低波动100ETF,天弘基金管理有限公司,国泰海通证券股份有限公司,股票型,20231123,,20231211,20231113,,2.7052,0.5,0.1,,1.0,0.1,,中证红利低波动100指数收益率×100%,L,被动指数型,股票型,,20231211,20231211,E,2023-12-11,中证红利 / 红利低波
560020.SH,汇添富中证红利ETF,汇添富基金管理股份有限公司,招商银行股份有限公司,股票型,20230926,,20231016,20230801,,3.3756,0.5,0.1,,1.0,0.1,,中证红利指数收益率×100%,L,被动指数型,股票型,,20231016,20231016,E,2023-10-16,中证红利
561060.SH,华安中证国有企业红利ETF,华安基金管理有限公司,广发证券股份有限公司,股票型,20230906,,20230921,20230817,,2.8157,0.5,0.1,,1.0,0.1,,中证国有企业红利指数收益率×100%,L,被动指数型,股票型,,20230921,20230921,E,2023-09-21,红利/股息
159515.SZ,鹏扬中证国有企业红利ETF,鹏扬基金管理有限公司,交通银行股份有限公司,股票型,20230825,,20230906,20230814,,2.9139,0.5,0.1,,1.0,0.1,,中证国有企业红利指数收益率×100%,L,被动指数型,股票型,,20230906,20230906,E,2023-09-06,红利/股息
561580.SH,华泰柏瑞中证中央企业红利ETF,华泰柏瑞基金管理有限公司,中信证券股份有限公司,股票型,20230518,,20230530,20230504,,19.9987,0.5,0.1,,1.0,0.1,,中证中央企业红利指数收益率×100%,L,被动指数型,股票型,,20230530,20230530,E,2023-05-30,红利/股息
159758.SZ,华夏中证红利质量ETF,华夏基金管理有限公司,中信银行股份有限公司,股票型,20211220,,20211228,20211111,,2.5829,0.15,0.05,,1.0,0.1,,中证红利质量指数收益率×100%,L,被动指数型,股票型,,20211228,20211228,E,2021-12-28,中证红利 / 红利质量
159708.SZ,西部利得深证红利ETF,西部利得基金管理有限公司,光大证券股份有限公司,股票型,20210618,,20210702,20210524,,2.8803,0.4,0.08,,1.0,0.1,,深证红利指数收益率×100%,L,被动指数型,股票型,,20210702,20210702,E,2021-07-02,深证红利
515100.SH,景顺长城中证红利低波动100ETF,景顺长城基金管理有限公司,交通银行股份有限公司,股票型,20200522,,20200703,20200427,,12.7694,0.5,0.1,,1.0,0.1,,中证红利低波动100指数收益率×100%,L,被动指数型,股票型,,20200703,20200703,E,2020-07-03,中证红利 / 红利低波
515890.SH,博时中证红利ETF,博时基金管理有限公司,招商银行股份有限公司,股票型,20200320,,20200420,20200224,,3.1244,0.15,0.05,,1.0,0.1,,中证红利指数收益率×100%,L,被动指数型,股票型,,20200420,20200420,E,2020-04-20,中证红利
515450.SH,南方标普中国A股大盘红利低波50ETF,南方基金管理股份有限公司,中国农业银行股份有限公司,股票型,20200117,,20200226,20191223,,4.7346,0.5,0.1,,1.0,0.1,,标普中国A股大盘红利低波50指数×100%,L,被动指数型,股票型,,20200226,20200226,E,2020-02-26,红利低波 / A股红利
