rank,ts_code,name,strategy_tag,price,dividend_yield_ttm,hist_yield_max,hist_yield_max_date,hist_yield_max_ttm_cash,hist_yield_max_close,hist_yield_obs,yield_pctile_all,yield_pctile_1y,yield_pctile_2y,yield_pctile_5y,yield_pctile_10y,yield_to_hist_max,current_ttm_cash_to_peak,yield_position_label,yield_valuation_hint,list_date,last_div_date
1,515180.SH,易方达中证红利ETF,中证红利,1.272,0.04795597484276729,0.09349289454001498,20241021,0.12500000000000003,1.337,1375,0.9156363636363636,1.0,0.9254658385093167,0.9039735099337748,0.9156363636363636,0.5129371069182388,0.4879999999999999,股息率历史高位,股息率高位，但分红未回峰值,20191220,20251021
2,515080.SH,招商中证红利ETF,中证红利,1.405,0.04982206405693951,0.06785714285714287,20230626,0.095,1.4,1352,0.7958579881656804,0.9794238683127572,0.8429752066115702,0.78099173553719,0.7958579881656804,0.7342198913654242,0.736842105263158,股息率中高位,股息率中位区间,20191227,20260618
3,563020.SH,易方达中证红利低波动ETF,中证红利 / 红利低波,1.059,0.0453257790368272,0.05045492142266336,20250613,0.061000000000000006,1.209,494,0.97165991902834,0.9629629629629629,0.9710743801652892,0.97165991902834,0.97165991902834,0.8983420795987553,0.7868852459016393,股息率历史高位,股息率高位，偏便宜信号,20231214,20260610
4,159307.SZ,博时中证红利低波动100ETF,中证红利 / 红利低波,0.946,0.053488372093023255,0.063773965691221,20260618,0.0632,0.991,428,0.9602803738317757,0.9300411522633745,0.9602803738317757,0.9602803738317757,0.9602803738317757,0.8387179864586398,0.800632911392405,股息率历史高位,股息率高位，偏便宜信号,20240425,20260612
5,515450.SH,南方标普中国A股大盘红利低波50ETF,红利低波 / A股红利,1.308,0.0573394495412844,0.17025712300208476,20241217,0.245,1.439,1099,0.5586897179253867,0.5185185185185185,0.2603305785123967,0.5586897179253867,0.5586897179253867,0.3367815015914623,0.30612244897959184,股息率中位,股息率中位区间,20200226,20251215
6,510880.SH,华泰柏瑞上证红利ETF,上证红利,2.906,0.04920853406744666,0.0932286555446516,20260121,0.2849999999999999,3.057,4129,0.8977960765318479,0.9958847736625515,0.993801652892562,0.9369817578772802,0.8268595041322314,0.5278262759445069,0.5017543859649124,股息率历史高位,股息率高位，但分红未回峰值,20070118,20260121
7,515890.SH,博时中证红利ETF,中证红利,1.307,0.046824789594491205,0.13256006628003314,20221226,0.16,1.207,916,0.5731441048034934,1.0,0.8537735849056604,0.5731441048034934,0.5731441048034934,0.353234506503443,0.38249999999999995,股息率中位,股息率中位区间,20200420,20251223
8,159545.SZ,易方达恒生港股通高股息低波动ETF,高股息 / 港股通高股息,1.194,0.04438860971524288,0.04921394395078605,20250814,0.072,1.463,452,0.9690265486725663,0.9876543209876543,0.9690265486725663,0.9690265486725663,0.9690265486725663,0.9019518890750048,0.7361111111111112,股息率历史高位,股息率高位，偏便宜信号,20240415,20260515
9,515100.SH,景顺长城中证红利低波动100ETF,中证红利 / 红利低波,1.297,0.08118735543562067,0.3581967213114754,20240913,0.437,1.22,365,0.336986301369863,1.0,0.5103734439834025,0.336986301369863,0.336986301369863,0.22665577490035976,0.24096109839816934,股息率中低位,股息率中位区间,20200703,20251223
10,520550.SH,招商恒生港股通高股息低波动ETF,高股息 / 港股通高股息,1.002,0.047904191616766484,0.047904191616766484,20260630,0.048000000000000015,1.002,274,1.0,1.0,1.0,1.0,1.0,1.0,1.0,股息率历史高位,股息率高位，偏便宜信号,20250124,20260615
11,513530.SH,华泰柏瑞中证港股通高股息投资ETF(QDII),高股息 / 港股通高股息,1.423,0.09135628952916372,0.09475679090334807,20260616,0.15,1.583,253,0.9920948616600791,0.9917695473251029,0.9920948616600791,0.9920948616600791,0.9920948616600791,0.9641133754977745,0.8666666666666666,股息率历史高位,股息率高位，偏便宜信号,20220425,20260615
12,561580.SH,华泰柏瑞中证中央企业红利ETF,红利/股息,1.089,0.11478420569329663,0.11478420569329663,20260630,0.12500000000000003,1.089,272,1.0,1.0,1.0,1.0,1.0,1.0,1.0,股息率历史高位,股息率高位，偏便宜信号,20230530,20260615
