symbol,em_name,price_hkd,pct_chg,volume_shares,turnover_hkd,turnover_rate_pct,pe_dynamic,pb,pe_ttm,total_mv_hkd,float_mv_hkd,latest_high,latest_low,latest_open,prev_close,ts_code
01392,海清智元,25.08,248.33,21694556.0,552883920.0,2.87,597.46,43.09,597.46,19417147174.0,18964090015.0,30.0,25.0,29.0,7.2,01392.HK
00895,东江环保,2.36,38.01,118865600.0,253113840.0,59.39,-1.9,1.03,-1.9,2608403693.0,472324500.0,2.4,1.78,1.78,1.71,00895.HK
08646,中国宏光,0.295,37.85,27261000.0,7636827.0,3.48,3.66,0.41,3.66,230982050.0,230982050.0,0.36,0.238,0.238,0.214,08646.HK
06869,长飞光纤光缆,277.6,27.46,36080784.0,9441673472.0,8.56,177.16,14.26,177.16,229826457981.0,117026942014.0,278.0,235.0,235.6,217.8,06869.HK
01010,天玺曜11,0.08,23.08,18000.0,1170.0,0.0,-0.82,-0.21,-0.82,35543534.0,35543534.0,0.081,0.063,0.063,0.065,01010.HK
02951,京玖康疗(旧),5.4,21.35,112500.0,598865.0,0.11,83.23,418.91,83.23,578431438.0,578431438.0,5.8,4.45,4.45,4.45,02951.HK
01332,透云生物,0.152,19.69,4140000.0,609360.0,0.15,15.91,-8.35,15.91,426504727.0,426504727.0,0.168,0.127,0.127,0.127,01332.HK
02513,智谱,2492.0,19.01,3207350.0,7984373248.0,1.45,-213.6,-11.2,-213.6,1111040980280.0,551515995660.0,2980.0,2100.0,2100.0,2094.0,02513.HK
00100,MINIMAX-W,591.0,18.77,3194128.0,1821698416.0,1.37,-12.73,-3.12,-12.73,185358467028.0,137426869434.0,613.0,502.0,520.0,497.6,00100.HK
00171,银建国际,0.045,18.42,7206000.0,331538.0,0.31,-0.11,0.07,-0.11,103718232.0,103718232.0,0.053,0.037,0.038,0.038,00171.HK
00618,北大资源,0.485,18.29,13097000.0,6102942.0,0.48,1.44,1.65,1.44,1327647380.0,1327647380.0,0.5,0.44,0.455,0.41,00618.HK
01181,唐宫中国,0.13,18.18,440000.0,57210.0,0.04,-2.14,0.99,-2.14,139883575.0,139883575.0,0.131,0.129,0.129,0.11,01181.HK
07709,南方两倍做多海力士,189.1,17.45,39404410.0,7359027456.0,,,,,,,190.85,183.35,185.15,161.0,07709.HK
01000,北青传媒,0.61,17.31,1000.0,610.0,0.0,-1.49,0.18,-1.49,120359100.0,33489610.0,0.61,0.61,0.61,0.52,01000.HK
08526,荣丰集团亚洲,0.29,16.94,270000.0,73700.0,0.17,-2.14,1.05,-2.14,47052500.0,47052500.0,0.29,0.245,0.245,0.248,08526.HK
00648,京玖康疗(新),5.46,16.92,1561624.0,8432316.0,1.46,84.15,423.56,84.15,584858454.0,584858454.0,5.79,4.8,4.8,4.67,00648.HK
08450,钜京控股,0.475,15.85,4130000.0,1992300.0,0.41,-33.34,16.82,-33.34,475000000.0,475000000.0,0.51,0.44,0.44,0.41,08450.HK
02676,纳芯微,226.0,15.31,1220300.0,258362740.0,6.07,-154.27,4.27,-154.27,36752895858.0,4541470000.0,228.6,196.0,210.0,196.0,02676.HK
08311,圆美光电,0.076,15.15,170000.0,13370.0,0.01,-9.03,3.17,-9.03,112760223.0,112760223.0,0.079,0.076,0.079,0.066,08311.HK
08030,丰银禾控股,0.92,15.0,1179000.0,1202820.0,0.34,6.11,1.2,6.11,321399332.0,321399332.0,1.17,0.85,0.85,0.8,08030.HK
02166,芯智控股,4.21,14.71,1354480.0,5500002.0,0.28,12.75,1.94,12.75,2057347136.0,2057347136.0,4.25,3.66,3.67,3.67,02166.HK
02347,友和集团,0.86,14.67,4000.0,3400.0,0.0,23.88,1.56,23.88,416315680.0,416315680.0,0.86,0.86,0.86,0.75,02347.HK
02718,明略科技-W,241.6,14.39,432440.0,103243416.0,0.33,-4.95,13.31,-4.95,35143416498.0,31559161872.0,253.6,207.4,215.4,211.2,02718.HK
08547,PACIFIC LEGEND,0.119,13.33,8020000.0,793880.0,0.9,-6.2,1.24,-6.2,105521265.0,105521265.0,0.124,0.085,0.1,0.105,08547.HK
01201,天臣控股,2.57,13.22,891000.0,2174370.0,0.24,-36.52,2.41,-36.52,950091036.0,950091036.0,2.59,2.28,2.35,2.27,01201.HK
06658,溜溜梅,156.0,13.21,204100.0,28965300.0,0.26,60.99,10.76,60.99,12294548448.0,12294548448.0,156.0,136.7,137.8,137.8,06658.HK
09978,方圆生活服务,0.215,13.16,196000.0,41588.0,0.05,-1.48,-3.79,-1.48,86000000.0,86000000.0,0.22,0.205,0.205,0.19,09978.HK
03329,交银国际,0.435,12.99,10153509.0,4396835.0,0.37,-4.47,1.27,-4.47,1189460520.0,1189460520.0,0.45,0.39,0.39,0.385,03329.HK
08226,树熊金融集团,0.11,12.24,265000.0,28975.0,0.06,-4.78,0.13,-4.78,45925439.0,45925439.0,0.111,0.11,0.11,0.098,08226.HK
08201,宝联控股,0.129,12.17,27900.0,3488.0,0.01,284.33,0.36,284.33,69660000.0,69660000.0,0.129,0.129,0.129,0.115,08201.HK
00862,远见控股(新),1.3,12.07,356000.0,461280.0,0.09,-9.39,43.2,-9.39,510144760.0,510144760.0,1.35,1.16,1.16,1.16,00862.HK
01825,STERLING GP,1.31,11.97,6000.0,7340.0,0.01,-3.2,20.89,-3.2,54328320.0,54328320.0,1.33,1.17,1.17,1.17,01825.HK
01853,春城热力,1.32,11.86,45000.0,57000.0,0.04,6.81,0.51,6.81,616044000.0,154044000.0,1.32,1.13,1.13,1.18,01853.HK
02465,龙蟠科技,13.72,11.18,18959500.0,254055725.0,15.8,129.97,2.73,129.97,10648255350.0,1646400000.0,13.91,12.24,12.38,12.34,02465.HK
00721,中国金融国际-新,0.189,11.18,76000.0,12378.0,0.0,-29.3,12.77,-29.3,414727766.0,414727766.0,0.189,0.158,0.17,0.17,00721.HK
02028,映美控股,0.9,11.11,3430000.0,3058280.0,0.47,-12.05,-11.83,-12.05,661912020.0,661912020.0,0.98,0.83,0.83,0.81,02028.HK
01777,花样年控股,0.06,11.11,337500.0,18064.0,0.01,-0.03,-0.01,-0.03,346355872.0,346355872.0,0.061,0.048,0.05,0.054,01777.HK
00889,连达科技控股,0.81,10.96,7356000.0,6235400.0,2.3,-10.71,0.37,-10.71,259200000.0,259200000.0,0.94,0.73,0.78,0.73,00889.HK
00465,富通科技,4.38,10.61,442000.0,1938000.0,0.14,-18.7,6.93,-18.7,1377431160.0,1377431160.0,4.5,4.05,4.29,3.96,00465.HK
08222,壹照明,0.063,10.53,60000.0,3684.0,0.01,-5.96,3.96,-5.96,28415250.0,28415250.0,0.063,0.057,0.057,0.057,08222.HK
01025,嘉艺控股,0.231,10.53,9648000.0,2246528.0,2.39,-2.84,0.94,-2.84,93408879.0,93408879.0,0.255,0.215,0.239,0.209,01025.HK
00928,帝王国际投资,0.084,10.53,2200000.0,193560.0,0.12,-4.04,0.66,-4.04,155435705.0,155435705.0,0.09,0.08,0.08,0.076,00928.HK
01675,亚信科技,5.2,10.4,21814400.0,115440112.0,2.32,38.82,0.68,38.82,4887942488.0,4887942488.0,5.62,4.58,4.75,4.71,01675.HK
01617,南方通信,0.75,10.29,13976000.0,10419040.0,0.86,36.25,1.3,36.25,1219680000.0,1219680000.0,0.78,0.69,0.69,0.68,01617.HK
00632,中港石油,0.249,10.18,9760000.0,2378452.0,1.02,14.67,0.84,14.67,238132065.0,238132065.0,0.255,0.226,0.226,0.226,00632.HK
00389,通天酒业,0.218,10.1,3000.0,634.0,0.0,-70.44,0.65,-70.44,65740472.0,65740472.0,0.218,0.218,0.218,0.198,00389.HK
03986,兆易创新,1033.0,10.01,1956335.0,1948831840.0,5.88,224.76,25.3,224.76,724907335767.0,34350452300.0,1037.0,944.0,968.0,939.0,03986.HK
00979,绿色能源科技集团,0.385,10.0,120000.0,49140.0,0.01,-37.88,14.95,-37.88,522178648.0,522178648.0,0.45,0.38,0.45,0.35,00979.HK
01466,佰金生命科学,0.68,9.68,5753601.0,3880576.0,0.62,78.42,3.73,78.42,633932778.0,633932778.0,0.72,0.59,0.65,0.62,01466.HK
00148,建滔集团,138.8,9.64,40636474.0,5726184192.0,3.67,34.95,2.38,34.95,153833668957.0,153833668957.0,151.8,132.5,132.5,126.6,00148.HK
02577,英诺赛科,73.25,9.49,15526600.0,1136030672.0,1.73,-72.03,14.38,-72.03,67031122832.0,65879764975.0,76.6,70.15,70.6,66.9,02577.HK
01808,企展控股,2.32,9.43,92000.0,214060.0,0.04,3.37,1.0,3.37,568140589.0,568140589.0,2.4,2.16,2.16,2.12,01808.HK
00571,丰德丽控股,0.047,9.3,14000.0,658.0,0.0,2.11,1.12,2.11,82526213.0,82526213.0,0.047,0.047,0.047,0.043,00571.HK
00828,王朝酒业,0.203,9.14,6000.0,1216.0,0.0,20.89,0.87,20.89,285906395.0,285906395.0,0.208,0.2,0.2,0.186,00828.HK
03388,创想三维,24.88,9.12,1500898.0,36085553.0,0.32,-57.47,8.21,-57.47,11614981713.0,11614981713.0,25.1,22.34,22.8,22.8,03388.HK
09399,南方两倍做空MSTR-U,6.0,9.09,0.0,,,,,,,,6.07,5.5,5.5,5.5,09399.HK
08439,新百利融资,1.21,9.01,54000.0,65000.0,0.04,-93.42,2.95,-93.42,177595202.0,177595202.0,1.21,1.19,1.19,1.11,08439.HK
09936,稀美资源,15.99,9.0,801000.0,12463356.0,0.19,34.85,3.88,34.85,6621459000.0,6621459000.0,16.03,14.11,14.8,14.67,09936.HK
01483,网誉科技,1.24,8.77,394000.0,475740.0,0.05,-11.26,5.91,-11.26,1016118000.0,1016118000.0,1.24,1.16,1.16,1.14,01483.HK
08471,新达控股,0.025,8.7,1960000.0,49990.0,0.13,-2.39,0.7,-2.39,36780000.0,36780000.0,0.026,0.025,0.025,0.023,08471.HK
07399,南方两倍做空MSTR,47.08,8.53,113780.0,5287045.0,,,,,,,48.8,43.38,48.8,43.38,07399.HK
08143,金威医疗,0.078,8.33,130400.0,9866.0,0.01,-8.43,10.82,-8.43,105515278.0,105515278.0,0.084,0.072,0.072,0.072,08143.HK
01138,中远海能,17.25,8.29,21826000.0,363957072.0,1.68,15.31,1.73,15.31,94373608292.0,22356000000.0,17.36,15.61,16.2,15.93,01138.HK
03830,童园国际,0.216,8.0,60000.0,13020.0,0.01,-24.88,9.74,-24.88,216000000.0,216000000.0,0.217,0.216,0.217,0.2,03830.HK
01002,威铖国际,0.055,7.84,340000.0,18596.0,0.01,49.72,0.24,49.72,152835914.0,152835914.0,0.055,0.054,0.054,0.051,01002.HK
08208,永通万国集团,0.125,7.76,276000.0,33600.0,0.04,-48.35,4.02,-48.35,90000000.0,90000000.0,0.125,0.119,0.119,0.116,08208.HK
01140,华科智能投资,0.139,7.75,74756000.0,10460440.0,0.64,14.71,0.15,14.71,1620361990.0,1620361990.0,0.148,0.124,0.148,0.129,01140.HK
01396,粤港湾智算,13.71,7.7,7267364.0,97886396.0,0.47,264.46,3.59,264.46,21388760867.0,21388760867.0,13.78,12.5,12.8,12.73,01396.HK
00199,德祥地产,2.83,7.6,5262068.0,14484739.0,0.48,-7.18,1.25,-7.18,3080845800.0,3080845800.0,2.85,2.63,2.63,2.63,00199.HK
00417,谢瑞麟,0.71,7.58,1956000.0,1434400.0,0.78,-0.93,0.53,-0.93,176919241.0,176919241.0,0.8,0.68,0.75,0.66,00417.HK
08418,傲迪玛汽车,0.86,7.5,30000.0,24340.0,0.0,1141.1,18.87,1141.1,731000000.0,731000000.0,0.86,0.79,0.8,0.8,08418.HK
06600,卧安机器人,62.35,7.5,833300.0,53095130.0,0.37,-514.31,7.54,-514.31,14050952835.0,14050952835.0,69.5,61.05,63.4,58.0,06600.HK
00641,中国恒天立信国际,0.43,7.5,6000.0,2500.0,0.0,112.59,0.45,112.59,473093125.0,473093125.0,0.43,0.43,0.43,0.4,00641.HK
01626,嘉耀控股,15.9,7.43,166000.0,2622450.0,0.03,4708.59,30.52,4708.59,9540000000.0,9540000000.0,16.5,15.1,15.1,14.8,01626.HK
01776,广发证券,18.19,7.32,14624487.0,255769681.0,0.76,8.13,0.91,8.13,142333939845.0,34939282878.0,18.28,16.5,17.0,16.95,01776.HK
00759,CEC INT'L HOLD,0.25,7.3,202000.0,49270.0,0.03,-4.85,0.39,-4.85,166547700.0,166547700.0,0.25,0.233,0.25,0.233,00759.HK
06966,中国万桐园,0.52,7.22,20000.0,10400.0,0.0,-39.86,2.22,-39.86,520000000.0,520000000.0,0.52,0.52,0.52,0.485,06966.HK
01202,四威科技,1.65,7.14,2506000.0,4289680.0,1.57,199.87,0.76,199.87,660000000.0,264000000.0,1.78,1.59,1.59,1.54,01202.HK
09963,高科桥,11.88,7.12,278000.0,3161580.0,0.09,-36.13,11.31,-36.13,3551834880.0,3551834880.0,12.12,10.81,10.9,11.09,09963.HK
02495,声通科技,44.16,7.08,81360.0,3406136.0,0.25,11.68,0.84,11.68,1751344045.0,1442345485.0,44.38,40.0,41.26,41.24,02495.HK
00306,冠忠巴士集团,2.88,7.06,192000.0,552420.0,0.04,7.32,0.64,7.32,1373117305.0,1373117305.0,2.92,2.78,2.8,2.69,00306.HK
00487,实德环球,0.046,6.98,260000.0,11844.0,0.01,-0.55,0.4,-0.55,226618595.0,226618595.0,0.046,0.043,0.043,0.043,00487.HK
02631,天岳先进,105.5,6.84,6080558.0,642596320.0,11.07,-165.78,6.35,-165.78,51127256392.0,5792741250.0,109.3,101.6,106.0,98.75,02631.HK
02309,大象未来集团,4.22,6.84,1663320.0,7150252.0,0.18,-227.79,6.1,-227.79,3894148024.0,3894148024.0,4.58,4.06,4.1,3.95,02309.HK
02175,中国通才教育,2.99,6.79,116000.0,332710.0,0.02,17.74,0.69,17.74,1511495830.0,1511495830.0,2.99,2.8,2.85,2.8,02175.HK
01759,中油洁能控股,0.63,6.78,53000.0,31910.0,0.02,-4.72,0.36,-4.72,136080000.0,136080000.0,0.67,0.6,0.62,0.59,01759.HK
01695,椰丰集团,0.095,6.74,115000.0,10925.0,0.01,4.6,0.41,4.6,102600000.0,102600000.0,0.095,0.095,0.095,0.089,01695.HK
00771,自动系统,0.8,6.67,30000.0,22880.0,0.0,8.15,0.28,8.15,671543594.0,671543594.0,0.8,0.76,0.76,0.75,00771.HK
02477,经纬天地,0.405,6.58,612221600.0,250284068.0,15.31,95.41,1.7,95.41,1620000000.0,1620000000.0,0.44,0.38,0.385,0.38,02477.HK
00750,水发兴业能源,0.23,6.48,114000.0,24464.0,0.0,18.61,0.12,18.61,579848809.0,579848809.0,0.239,0.21,0.21,0.216,00750.HK
01380,中国金石,0.67,6.35,2570000.0,1731400.0,0.5,-16.18,3.07,-16.18,346354932.0,346354932.0,0.69,0.65,0.65,0.63,01380.HK
01300,俊知集团,4.36,6.34,9332000.0,41799630.0,0.53,66.2,1.93,66.2,7708480000.0,7708480000.0,4.68,4.17,4.18,4.1,01300.HK
02369,酷派集团,0.84,6.33,68000.0,56360.0,0.02,-2.51,0.17,-2.51,278821366.0,278821366.0,0.85,0.8,0.81,0.79,02369.HK
01399,锐信控股,0.42,6.33,274000.0,114570.0,0.03,19.19,0.38,19.19,457800523.0,457800523.0,0.435,0.37,0.435,0.395,01399.HK
03393,威胜控股,21.96,6.29,4062000.0,88120270.0,0.39,19.6,3.17,19.6,22967517663.0,22967517663.0,22.46,20.82,21.6,20.66,03393.HK
06030,中信证券,28.4,6.29,10168857.0,279942048.0,0.39,11.16,1.27,11.16,420903529944.0,74410182682.0,28.44,26.4,26.52,26.72,06030.HK
00052,大快活集团,4.45,6.21,365500.0,1613385.0,0.28,17.35,0.89,17.35,576509871.0,576509871.0,4.5,4.28,4.28,4.19,00052.HK
02559,嘀嗒出行,1.38,6.15,1219000.0,1636360.0,0.12,9.78,0.87,9.78,1405309704.0,1405309704.0,1.4,1.3,1.3,1.3,02559.HK
01729,汇聚科技,20.22,6.14,19661000.0,405619344.0,0.88,57.58,14.18,57.58,45126235809.0,45126235809.0,21.12,19.53,19.53,19.05,01729.HK
02302,中核国际,4.18,6.09,591000.0,2482380.0,0.12,10.63,2.35,10.63,2044723527.0,2044723527.0,4.33,3.9,4.02,3.94,02302.HK
02576,太美医疗科技,5.94,6.07,211200.0,1244830.0,0.11,-70.54,2.7,-70.54,3346346520.0,1189018906.0,6.0,5.71,5.94,5.6,02576.HK
02505,EDA集团控股,0.7,6.06,46000.0,31800.0,0.01,-24.1,0.54,-24.1,324321025.0,324321025.0,0.7,0.66,0.66,0.66,02505.HK
01943,金石控股集团,0.7,6.06,6495000.0,4630550.0,0.63,-12.6,7.97,-12.6,721381500.0,721381500.0,0.73,0.66,0.66,0.66,01943.HK
02377,博奇环保,0.88,6.02,58000.0,48070.0,0.01,2.83,0.21,2.83,752279158.0,752279158.0,0.88,0.77,0.83,0.83,02377.HK
03750,宁德时代,751.0,6.0,2492094.0,1808088000.0,1.14,39.35,8.47,39.35,3474597004670.0,163943525300.0,755.0,697.0,713.5,708.5,03750.HK
01753,兑吧,0.16,5.96,111200.0,16834.0,0.01,-1.43,0.13,-1.43,172291712.0,172291712.0,0.16,0.15,0.15,0.151,01753.HK
