tier,quality_score,ts_code,name,source_batch,tags,market_cap_hkd,turnover_hkd,pb,pe_ttm,cash_to_liab,net_cash_to_mv,shareholder_return_yield,div_paid_years,latest_payout,profit_trend,revenue_trend,cfo_profit_avg4,oneoff_latest,screen_score,hard_flags,governance_grade,governance_score,governance_action,governance_notes,hkex_regulatory_hits,sfc_enforcement_hits,dilution_count,capital_reorg_count,connected_count,delay_suspend_count,audit_count,investigation_count,winding_count,offer_privatisation_count,director_auditor_change_count,profit_warning_count,evidence_titles,hkex_regulatory_evidence,sfc_evidence
A,124.83450479488532,00536.HK,贸易通,补充宽筛,,859743416.6181818,1030240.0,2.2385454545454544,10.230545454545457,2.9276272772727854,0.315912478153492,0.0843165872035907,4,0.9551567372003904,稳定,稳定,0.970471261037818,,116.81251785735834,无明显硬伤,Clean,4,暂未命中明显治理红旗,盈利警告 2 次,0,0,0,0,0,0,0,0,0,0,0,2,profit_warning: PROFIT WARNING UPDATE ANNOUNCEMENT || profit_warning: PROFIT WARNING,,
A,124.82809275810712,06686.HK,诺亚控股,补充宽筛,,5567302405.5,16510.0,0.495,9.301875,2.8546958032371355,0.5856529361111962,0.1076041781758032,3,0.978371926986689,同比增长,稳定,1.1290497462968327,0.083155440479407,127.23854710201482,无明显硬伤,Clean,0,暂未命中明显治理红旗,未命中官方处分或高风险公告模式,0,0,0,0,0,0,0,0,0,0,0,0,,,
A,119.50137975175006,01571.HK,信邦控股,原始初筛,,3770320180.0,5634290.0,0.92,6.43,1.378211515993295,0.0782172298162751,0.1226370647386238,4,0.8735047417538822,稳定,稳定,1.496532172606412,0.1669002909283258,117.46103395529738,无明显硬伤,Clean,2,暂未命中明显治理红旗,盈利警告 1 次,0,0,0,0,0,0,0,0,0,0,0,1,profit_warning: PROFIT WARNING,,
A,116.64578488470634,01681.HK,康臣药业,补充宽筛,医药,10682079331.67059,36012271.4,2.144941176470588,8.94889411764706,2.482895112625807,0.2182475834164581,0.0627303897672142,4,0.465714097546813,同比增长,同比增长,1.187386501208867,0.0488364823336582,110.00500138438582,无明显硬伤,Clean,0,暂未命中明显治理红旗,未命中官方处分或高风险公告模式,0,0,0,0,0,0,0,0,0,0,1,0,director_auditor_change: RESIGNATION OF INDEPENDENT NON-EXECUTIVE DIRECTOR AND CHANGE IN COMPOSITION OF BOARD COMMITTEES,,
A,114.77591771307476,02610.HK,南山铝业国际,原始初筛,,16689706879.999998,49157322.0,1.0910361281526924,5.253476482617587,1.1395360145070548,0.0205455979823655,0.1331974675878789,3,0.7743690442379072,稳定,稳定,1.3805219089101588,0.0795929759957691,110.93118453161742,无明显硬伤,Clean,12,暂未命中明显治理红旗,稀释融资/配股供股 2 次,0,0,2,0,0,0,0,0,0,0,0,0,dilution: COMPLETION OF PLACING OF EXISTING SHARES AND TOP-UP SUBSCRIPTION OF NEW SHARES UNDER GENERAL MANDATE || dilution: PLACING OF EXISTING SHARES AND TOP-UP SUBSCRIPTION OF NEW SHARES UNDER GENERAL MANDATE,,
A,114.17370129351627,02076.HK,BOSS直聘-W,补充宽筛,,49834155456.0,5947230.0,2.138851674641148,13.197799043062204,4.445158387296924,0.3101957454390616,0.0139624719960258,2,0.2021723076473126,同比增长,稳定,4.006132843359512,-0.0080615206884701,106.46611160958103,无明显硬伤,Clean,6,暂未命中明显治理红旗,稀释融资/配股供股 1 次,0,0,1,0,0,0,0,0,0,0,0,0,dilution: INSIDE INFORMATION ISSUE OF NEW SHARES UNDER GENERAL MANDATE AND SIGNING OF PUBLIC OFFER UNDERWRITING AGREEMENT ANNOUNCEMENT OF THE SHARE OFFER,,
A,113.2892076871162,00887.HK,英皇钟表珠宝,原始初筛,,1814177031.7796607,447050.0,0.3177966101694915,3.961864406779661,1.5584931810461056,0.2872935140451619,0.0361287595377078,4,0.1582925424704866,同比增长,稳定,2.36901423906955,-0.1232385763770733,105.0462299890506,无明显硬伤,Clean,14,暂未命中明显治理红旗,稀释融资/配股供股 1 次；关联交易 4 次,0,0,1,0,4,0,0,0,0,0,0,0,dilution: Placing of New Shares under General Mandate || connected: Documents on Display - Discloseable and Connected Transaction || connected: (I) Discloseable and Connected Transaction - Acquisition of Entire Equity Interest in Target Company and (II) Notice of Extraordinary General Meeting,,
A,112.24066294920928,01346.HK,利华控股集团,原始初筛,,792483999.9999999,59960.0,1.457709923664122,6.4177099236641215,2.093879610678608,0.3848166180137391,0.0897865598169805,4,0.5080644933062984,稳定,稳定,0.8508846790565046,0.1191104575753513,117.82236665351792,无明显硬伤,Clean,0,暂未命中明显治理红旗,未命中官方处分或高风险公告模式,0,0,0,0,0,0,0,0,0,0,2,0,"director_auditor_change: RESIGNATION OF INDEPENDENT NON-EXECUTIVE DIRECTOR, APPOINTMENT OF INDEPENDENT NON-EXECUTIVE DIRECTOR AND CHANGE IN BOARD COMMITTEE COMPOSITION || director_auditor_change: RESIGNATION OF INDEPENDENT NON-EXECUTIVE DIRECTOR",,
A,112.05864918405412,03316.HK,滨江服务,补充宽筛,,5843243980.0,2442530.0,3.157398897058824,8.860147058823529,1.0550490556638517,0.0298046770930828,0.0739729508949924,4,0.7258374362728964,稳定,稳定,1.7574966429276409,0.0240366208346487,95.11757324668274,无明显硬伤,Clean,2,暂未命中明显治理红旗,关联交易 1 次,0,0,0,0,1,0,0,0,0,0,0,0,connected: CONNECTED TRANSACTION AND CONTINUING CONNECTED TRANSACTIONS - REVISION OF TERMS OF EXISTING SALES AGENCY SERVICES FRAMEWORK AGREEMENT AND RENEWAL OF AGREEMENTS DUE TO EXPIRE IN 2021,,
A,111.19847667451798,00999.HK,小菜园,补充宽筛,消费,7840527468.000001,15747371.2,2.9091522762951336,9.903720565149138,1.0957639279726317,0.0165802620462167,0.0796190055513239,4,0.872971589669581,同比增长,稳定,1.6589683205116028,0.0836046270969329,103.873601043417,无明显硬伤,Clean,2,暂未命中明显治理红旗,关联交易 1 次,0,0,0,0,1,0,0,0,0,0,0,0,connected: CONNECTED TRANSACTION - ESTABLISHMENT OF A JOINT VENTURE,,
A,110.00125900755586,00667.HK,中国东方教育,原始初筛,教育,8385045279.767442,24407682.5,1.230697674418605,10.021395348837208,1.291066426840958,0.1413056173779972,0.0528705552812823,4,0.5863341846417958,同比增长,稳定,2.483740921533057,0.1532659428560847,100.95861444686383,无明显硬伤,Clean,0,暂未命中明显治理红旗,未命中官方处分或高风险公告模式,0,0,0,0,0,0,0,0,0,0,0,0,,,
A,108.93389850826628,01579.HK,颐海国际,补充宽筛,,13674073000.0,41361019.0,2.589447852760736,14.464493865030676,2.1639888740001627,0.084680036445615,0.0508659709510107,4,0.8144898379791186,同比增长,稳定,1.3087483965508269,0.1592186555873549,100.9044217161294,无明显硬伤,Clean,17,暂未命中明显治理红旗,关联交易 1 次；调查/内控/违规关键词 1 次,0,0,0,0,1,0,0,1,0,0,0,0,connected: CONTINUING CONNECTED TRANSACTION - SUPER HI MASTER SALES AGREEMENT || investigation: INSIDE INFORMATION INVESTIGATION AGAINST AN INDEPENDENT NON-EXECUTIVE DIRECTOR,,
A,107.256018412251,03339.HK,中国龙工,原始初筛,,11085458999.999998,13708129.99,0.8731439393939393,7.7013257575757565,1.2062326158865744,0.1010838612997441,0.0457290943027257,4,0.3897863021788074,同比增长,稳定,2.502137621079876,0.1575037215653949,90.8139154132958,无明显硬伤,Clean,8,暂未命中明显治理红旗,盈利警告 4 次,0,0,0,0,0,0,0,0,0,0,0,4,profit_warning: PROFIT WARNING || profit_warning: PROFIT WARNING,,
A,107.0753587302142,01837.HK,五谷磨房,原始初筛,,3063919600.0,2182890.0,1.628148148148148,10.41185185185185,3.133468932107367,0.2663431507798051,0.0260659581276218,2,0.3005965711274629,同比增长,同比增长,1.2500281857679016,0.0828575192427122,100.52123346062552,无明显硬伤,Clean,0,暂未命中明显治理红旗,未命中官方处分或高风险公告模式,0,0,0,0,0,0,0,0,0,0,0,0,,,
A,106.3528646117376,06038.HK,信越控股,原始初筛,,330990000.0,172300.0,1.1091666666666666,5.958333333333334,2.1057304058924595,0.5567250620864678,0.0,3,,同比增长,稳定,2.441517294012717,0.1391013298303071,92.3270124142798,无明显硬伤,Clean,0,暂未命中明显治理红旗,未命中官方处分或高风险公告模式,0,0,0,0,0,0,0,0,0,0,1,0,director_auditor_change: APPOINTMENT AND RESIGNATION OF INDEPENDENT NON-EXECUTIVE DIRECTOR,,
A,106.03334009636473,00987.HK,中国再生能源投资,原始初筛,,451108343.2978723,456446.0,0.2393617021276595,23.141489361702128,1.5436447717612538,0.3026962405566398,0.0250898702898217,4,0.6429121132830538,同比增长,稳定,5.826091021185122,0.2210250885023857,90.68012874365836,无明显硬伤,Clean,0,暂未命中明显治理红旗,未命中官方处分或高风险公告模式,0,0,0,0,0,0,0,0,0,0,0,0,,,
A,104.86792878433668,01475.HK,日清食品,原始初筛,消费,6554382494.009332,1692470.0,1.6505754276827371,19.064634525660964,1.5552174315489735,0.0801790414215719,0.0230012758635604,4,0.498192636578139,同比增长,稳定,1.735245454820741,0.0358334691118875,89.14390955055849,无明显硬伤,Clean,10,暂未命中明显治理红旗,关联交易 4 次；盈利警告 1 次,0,0,0,0,4,0,0,0,0,0,0,1,connected: CONNECTED TRANSACTION FORMATION OF JOINT VENTURE || connected: (I) CONNECTED TRANSACTION ACQUISITION AND CAPITAL CONTRIBUTION IN NISSIN VIETNAM (II) CONTINUING CONNECTED TRANSACTIONS WITH A CONNECTED SUBSIDIARY || profit_warning: PROFIT WARNING,,
A,104.09943964254688,01513.HK,丽珠医药,原始初筛,医药,21327530247.298485,20758739.0,1.2961888701517708,9.68091062394604,1.102746170807276,0.040652167760954,0.0534059923396089,4,0.562964683277148,稳定,稳定,1.5287101187979273,0.0984304956460958,88.16592235491254,无明显硬伤,Clean,18,暂未命中明显治理红旗,关联交易频繁 14 次,0,0,0,0,14,0,0,0,0,0,0,0,connected: CONNECTED TRANSACTION DEEMED DISPOSAL OF A SUBSIDIARY || connected: SUPPLEMENTAL ANNOUNCEMENT CONNECTED TRANSACTION CAPITAL CONTRIBUTION TO LIVZONBIO,,
A,101.9089459601544,02097.HK,蜜雪集团,补充宽筛,消费,94525081200.0,105293425.4,3.487223587223587,14.4995085995086,2.874528516563104,0.1194792414523733,0.0,3,,同比增长,同比增长,1.2017085690252078,0.0590527398693734,93.41004930045648,无明显硬伤,Clean,2,暂未命中明显治理红旗,关联交易 1 次,0,0,0,0,1,0,0,0,0,0,0,0,connected: CONNECTED TRANSACTION - ENTERING INTO THE INVESTMENT AGREEMENT AND EQUITY TRANSFER AGREEMENT,,
A,100.20071095276684,02648.HK,安井食品,原始初筛,消费,22263700657.397884,20536744.2,1.2228139183055975,12.975975794251136,1.0240950719965616,0.0052631330731202,0.0478296079158862,4,0.7834277346907271,稳定,稳定,1.3985517897405395,0.1160323905835094,86.5648542253851,无明显硬伤,Clean,0,暂未命中明显治理红旗,未命中官方处分或高风险公告模式,0,0,0,0,0,0,0,0,0,0,0,0,,,
A,98.42200237438628,01789.HK,爱康医疗,原始初筛,医药,5478249031.0,26336100.0,1.7221880998080614,14.591285988483683,1.9552113006646823,0.1307439650784287,0.0134409734904948,4,0.217146278023203,同比增长,稳定,1.0467735800820694,0.088721711383864,93.2571629705865,无明显硬伤,Clean,4,暂未命中明显治理红旗,盈利警告 2 次,0,0,0,0,0,0,0,0,0,0,0,2,profit_warning: ANNOUNCEMENT - PROFIT WARNING || profit_warning: ANNOUNCEMENT PROFIT WARNING,,
A,98.09403995703634,02116.HK,江苏创新,原始初筛,,326400000.00000006,63140.0,1.2142857142857144,18.78742857142857,3.1917524757353304,0.2725857843137254,0.0135661764705882,4,0.2821460430737861,稳定,稳定,1.3003478011919336,0.2554479418886198,94.57702886398744,无明显硬伤,Clean,0,暂未命中明显治理红旗,未命中官方处分或高风险公告模式,0,0,0,0,0,0,0,0,0,0,0,0,,,
A,97.8658145608816,03880.HK,泰德医药,补充宽筛,医药,3261400000.0,2252108.0,1.8545135845749343,13.556091148115687,4.718097412146887,0.2596933832096645,0.0,0,,同比增长,同比增长,1.892537584542885,0.2571134143929043,94.9125548781884,无明显硬伤,Clean,0,暂未命中明显治理红旗,未命中官方处分或高风险公告模式,0,0,0,0,0,0,0,0,0,0,0,0,,,
A,97.65090812127782,00280.HK,景福集团,原始初筛,,422828436.3473684,121660.0,0.5090526315789474,4.65,1.834083366147269,0.4482218720604257,8.636883629557543e-06,3,0.0001007074699765,稳定,稳定,1.14941223570969,-0.3110350210226844,81.14705638525636,无明显硬伤,Clean,0,暂未命中明显治理红旗,未命中官方处分或高风险公告模式,0,0,0,0,0,0,0,0,0,0,0,0,,,
B,114.3102888152518,00210.HK,达芙妮国际,原始初筛,,682616457.7183098,412760.0,0.7385915492957746,5.286760563380282,3.916800583381723,0.6328356064603757,0.053250986830148,2,0.3117870070162798,稳定,稳定,1.8268105180206295,0.4546086150995831,112.19899659830958,一次性偏高；回购多于现金分红,Clean,0,暂未命中明显治理红旗,未命中官方处分或高风险公告模式,0,0,0,0,0,0,0,0,0,0,0,0,,,
