ts_code,latest_report_date,cash_like,strict_cash_like,total_liabilities,interest_debt,net_cash_after_all_liab,cash_to_liab,net_cash_to_mv,revenue_latest,revenue_cagr_3y,profit_latest,profit_cagr_3y,profit_positive_years,cfo_latest,cfo_positive_years,cfo_to_profit_latest,oneoff_ratio_latest,dps_latest,div_paid_latest,buyback_latest,shareholder_return_hkd,dps_yield_est,dividend_paid_yield_est,score,flags,name,fullname,market,list_date,price_hkd,total_mv_hkd,float_mv_hkd,turnover_hkd,pb,pe_ttm,pe_dynamic,ts_avg_amount_hkd,ts_median_amount_hkd,source_batch,financial_source,strict_net_cash
01451.HK,20251231,162748502.14,162748502.14,75550740.12,1678182.76,87197762.01999998,2.1541615857303396,0.45871347568545745,263291339.66,0.042512130171506124,23940749.32,0.24749704776341597,4,94102878.92,4,3.9306572096883725,-0.022787293442994037,,36526216.8,,36526216.8,,0.1921502051638154,140.28935656623563,现金类资产>总负债;近年盈利稳定;经营现金流稳定;股东回报率较高,万成集团股份,万成集团股份有限公司,主板,20180601,0.93,190092000.0,190092000.0,175620.0,1.000857142857143,7.1742857142857135,7.1742857142857135,330250.0,246040.0,补充宽筛,cache,True
01502.HK,20251231,1724737000.0,1626191000.0,970936000.0,33857000.0,753801000.0,1.7763652805128247,1.0296983853782478,1999238000.0,0.12928952494668922,107350000.0,-0.03940949187562581,4,156336000.0,4,1.456320447135538,-0.15507219375873313,,72799000.0,,72799000.0,,0.09944403464196924,129.1453333474454,现金类资产>总负债;近年盈利稳定;经营现金流稳定;股东回报率较高,金融街物业,金融街物业股份有限公司,主板,20200706,1.96,732060000.0,202860000.0,27540.0,0.49,6.1642,6.1642,247271.5,248560.0,补充宽筛,cache,True
00687.HK,20251231,942829809.88,942829809.88,502774703.34,91498895.66,440055106.54,1.8752530778033476,0.4085435590581697,1870145009.82,-0.05408598131996978,55382740.74,1.3928990131246657,3,295121715.68,4,5.3287668998809465,0.5676076781316763,,136812539.84,,136812539.84,,0.12701564217603417,128.47996020781085,现金类资产>总负债;近年盈利稳定;经营现金流稳定;一次性/其他收益占比较高;股东回报率较高,泰升集团,泰升集团控股有限公司,主板,19910326,0.32,1077131426.4615383,1077131426.4615383,43910.0,0.9353846153846151,17.56553846153846,17.56553846153846,60614.21052631579,32830.0,补充宽筛,cache,True
00538.HK,20251231,3349090000.0,3338962000.0,1078734000.0,652895000.0,2270356000.0,3.104648597337249,2.5678506247454003,1831936000.0,0.08612333586421883,28408000.0,,2,453149000.0,4,15.9514573359617,0.0,,65492000.0,,65492000.0,,0.07407370170837778,128.22211051251332,现金类资产>总负债;经营现金流稳定;股东回报率较高,味千(中国),味千(中国)控股有限公司,主板,20070330,0.81,884146444.548387,884146444.548387,254140.0,0.2787096774193549,28.11483870967742,28.11483870967742,424189.5,306330.0,补充宽筛,cache,True
06686.HK,20251231,5018481000.0,4360918000.0,1757974000.0,60344000.0,3260507000.0,2.8546958032371355,0.5856529361111962,1133850000.0,-0.046088942671561606,558857000.0,-0.16976897754778875,4,976609000.0,4,1.747511438525419,0.08315544047940708,,546770000.0,52295000.0,599065000.0,,0.10760417817580324,127.23854710201482,现金类资产>总负债;近年盈利稳定;经营现金流稳定;股东回报率较高,诺亚控股,诺亚控股私人财富资产管理有限公司,主板,20220713,16.5,5567302405.5,5567302405.5,16510.0,0.495,9.301875,9.301875,150143.63157894736,35696.0,补充宽筛,cache,True
01669.HK,20251231,376191130.0,362007866.34,7612338.16,1597796.18,368578791.84,49.41860465116279,0.7313071266666666,69718648.58,-0.04822529499330874,47177890.26,0.011994821237574671,4,251475415.62,3,5.3303658606628,0.14044760974862636,,43354560.0,,43354560.0,,0.08602095238095238,123.06172484872036,现金类资产>总负债;近年盈利稳定;经营现金流稳定;股东回报率较高,环球信贷集团,环球信贷集团有限公司,主板,20141212,1.26,504000000.0,504000000.0,25200.0,0.531,9.648,9.648,760609.4736842106,203300.0,补充宽筛,cache,True
00536.HK,20251231,412504186.88,412504186.88,140900513.56,,271603673.32,2.9276272772727854,0.31591247815349205,228270790.6,-0.004229207038118021,75893963.72,0.1753023875601074,4,65998285.4,4,0.8696117868278866,0.0,,72490630.76,,72490630.76,,0.08431658720359078,116.81251785735834,现金类资产>总负债;近年盈利稳定;经营现金流稳定;股东回报率较高,贸易通,贸易通电子贸易有限公司,主板,20051028,1.08,859743416.6181818,859743416.6181818,1030240.0,2.2385454545454544,10.230545454545457,10.230545454545457,876319.0,762430.0,补充宽筛,cache,True
02176.HK,20251231,290069000.0,289850000.0,235956000.0,6811000.0,54113000.0,1.2293351302785265,0.1136827731092437,287077000.0,0.12091454241420552,74410000.0,0.3521697696628696,4,85556000.0,4,1.1497916946646956,0.03478027146888859,,77000000.0,,77000000.0,,0.16176470588235295,115.77132240770968,现金类资产>总负债;近年盈利稳定;经营现金流稳定;股东回报率较高,赛迪顾问,赛迪顾问股份有限公司,主板,20210514,0.68,476000000.0,142120000.0,27500.0,3.3731578947368424,5.78,5.78,91437.5,53800.0,补充宽筛,cache,True
00380.HK,20251231,403353665.06,401938319.32,166719057.26,91955924.98,236634607.8,2.4193614796595573,1.3156899197807843,582914704.28,0.008323737354414273,50549610.52,0.04761980735883875,4,167521116.62,4,3.313994210770825,0.03989922452917843,,,,0.0,,0.0,113.52464416931917,现金类资产>总负债;近年盈利稳定;经营现金流稳定,中国管业,中国管业集团有限公司,主板,20001221,0.135,179855910.00000003,179855910.00000003,33548.0,0.2076923076923077,3.20979020979021,3.20979020979021,119069.88235294116,38252.0,补充宽筛,cache,True
00064.HK,20260331,2388226116.7000003,2068272408.15,412795018.1,,1975431098.6000004,5.785501306901553,0.9426166594418376,156723972.76,-0.059353654714481174,45203465.76,0.29465317318192596,4,167724468.78,4,3.710433834222007,-1.2408305057359832,,,,0.0,,0.0,112.97493001470792,现金类资产>总负债;近年盈利稳定;经营现金流稳定,结好控股,结好控股有限公司,主板,20020606,3.39,2095688718.0094345,2095688718.0094345,512430.0,0.319811320754717,39.25150943396227,39.25150943396227,483445.21,315840.7,补充宽筛,cache,True
