i,c,n,s
1,00001,CKH HOLDINGS,3837
2,00002,CLP HOLDINGS,3850
3,00003,HK & CHINA GAS,6128
4,00004,WHARF HOLDINGS,17622
5,00005,HSBC HOLDINGS,7286
6,00006,POWER ASSETS,12978
7,00007,WISDOM WEALTH,17642
10,00008,PCCW,12904
17,00010,HANG LUNG GROUP,6047
19,00012,HENDERSON LAND,6087
1000001102,00013,HUTCHMED,8533
21,00014,HYSAN DEV,8635
25,00016,SHK PPT,15045
27,00017,NEW WORLD DEV,12790
28,00018,ORIENTAL M G,12864
30,00019,SWIRE PACIFIC A,15307
1000127397,00020,SENSETIME-W,13298
32,00021,GREAT CHI HLDGS,5906
33,00022,MEXAN,11668
34,00023,BANK OF E ASIA,300
36,00025,CHEVALIER INT'L,2631
37,00026,CHINA MOTOR BUS,2704
38,00027,GALAXY ENT,5338
41,00028,TIAN AN,15414
43,00029,DYNAMIC HOLD,5068
44,00030,YNBY INTL,17825
46,00031,CHINA AEROSPACE,2652
47,00032,CROSS-HAR(HOLD),3997
19747,00033,INTL GENIUS,8722
49,00034,KOWLOON DEV,10717
51,00035,FE CONSORT INTL,5216
52,00036,FE HLDGS INTL,5217
53,00037,FE HOTELS,5227
54,00038,FIRST TRACTOR,5259
57,00039,CH BEIDAHUANG,2569
60,00040,GOLD PEAK,5875
61,00041,GREAT EAGLE H,5907
62,00042,NE ELECTRIC,12765
68,00045,HK&S HOTELS,6138
69,00046,COMPUTER & TECH,3928
110870,00048,C AUTO INT DECO,2322
79,00050,HK FERRY (HOLD),6131
80,00051,HARBOUR CENTRE,6066
81,00052,FAIRWOOD HOLD,5204
83,00053,GUOCO GROUP,5949
85,00055,NEWAY GROUP,12791
88,00057,CHEN HSONG HOLD,2619
90,00058,SUNWAY INT'L,15293
94,00059,SKYFAME REALTY,15161
97,00060,HK FOOD INV,6133
99,00061,GREEN LEADER,5916
102,00062,TRANSPORT INT'L,15496
103,00063,CHI ASIA VALLEY,2636
104,00064,GET NICE,5375
35207,00065,GRAND OCEAN AR,5901
111,00066,MTR CORPORATION,12705
1000299467,00068,MANYCORE TECH,10904
115,00069,SHANGRI-LA ASIA,15015
117,00070,RICH GOLDMAN,13173
118,00071,MIRAMAR HOTEL,11707
37985,00072,META MEDIA,11662
41275,00073,ASIAN CITRUS,242
127,00075,Y.T. REALTY,17775
128,00076,ELATE HOLDINGS,5148
7342,00077,AMS TRANSPORT,188
130,00078,REGAL INT'L,13155
131,00079,CENTURY LEGEND,2536
57782,00080,CAI CORP,2350
134,00081,CH OVS G OCEANS,2585
135,00082,CRAZY SPORTS,3987
137,00083,SINO LAND,15092
138,00084,STELUX HOLDINGS,15250
139,00085,CE HUADA TECH,2512
142,00086,SUN HUNG KAI CO,15267
143,00087,SWIRE PACIFIC B,15308
144,00088,TAI CHEUNG HOLD,15342
