ts_code,latest_report_date,cash_like,strict_cash_like,total_liabilities,interest_debt,net_cash_after_all_liab,cash_to_liab,net_cash_to_mv,revenue_latest,revenue_cagr_3y,profit_latest,profit_cagr_3y,profit_positive_years,cfo_latest,cfo_positive_years,cfo_to_profit_latest,oneoff_ratio_latest,dps_latest,div_paid_latest,buyback_latest,shareholder_return_hkd,dps_yield_est,dividend_paid_yield_est,score,flags,name,fullname,market,list_date,price_hkd,total_mv_hkd,float_mv_hkd,turnover_hkd,liquidity_ref_hkd,pb,pe_ttm,pe_dynamic,prefilter_pe,static_exclusion_hint,annual_mmdd,annual_period,financial_source,special_label,watch_score
03601.HK,20251231,479260000.0,429260000.0,79431000.0,1741000.0,399829000.0,6.033664438317533,1.9818042131350682,1091373000.0,0.4484998697320677,26104000.0,-0.2442977210931474,4,26899000.0,3,1.030455102666258,0.4416181428133619,,24645000.0,,24645000.0,,0.12215613382899629,129.0582686857068,现金类资产>总负债;近年盈利稳定;经营现金流稳定;股东回报率较高,鲁大师,360鲁大师控股有限公司,主板,20191010,0.75,201750000.0,201750000.0,1500.0,167797.77777777778,0.2658227848101266,6.977848101265822,6.977848101265822,6.977848101265822,低PB高分红旁路,1231,FY-12-31,cache,可复核,77.07557170932256
01568.HK,20251231,3585994753.48,3585994753.48,3113044374.54,56131510.12,472950378.94000006,1.1519253573151798,0.3443314576147936,4638746437.36,0.035380117156582847,241409028.72,-0.020444159134611728,4,166505897.34,4,0.6897252278543529,0.14222002723776173,,389867687.24,,389867687.24,,0.28384311547678925,105.64623806679937,现金类资产>总负债;近年盈利稳定;经营现金流稳定;股东回报率较高,承达集团,承达集团有限公司,主板,20151229,0.63,1373532300.0000002,1373532300.0000002,0.0,155436.66666666666,0.3801724137931034,5.137758620689656,5.137758620689656,5.137758620689656,低PB高分红旁路,1231,FY-12-31,cache,可复核,73.8410333453956
00018.HK,20260331,495204273.4,495204273.4,123751623.15,10646611.1,371452650.25,4.001598207724195,0.5957935597855918,419232606.55,-0.10905748762258283,11788265.45,-0.5675999316909796,4,116075403.06,3,9.846690639291637,2.454947194966669,,154901629.65,,154901629.65,,0.24845533686096744,106.53269695656945,现金类资产>总负债;近年盈利稳定;经营现金流稳定;一次性/其他收益占比较高;股东回报率较高,东方传媒集团,东方传媒集团有限公司,主板,19870818,0.26,623458653.0,623458653.0,0.0,53787.05882352941,0.37,46.7,46.7,46.7,PE偏高,0331,FY-03-31,cache,可复核,70.65087831122841
03662.HK,20251231,1940552000.0,1940552000.0,996930000.0,65262000.0,943622000.0,1.9465278404702437,3.6091872250908397,1219825000.0,-0.09205663789257101,51568000.0,-0.3149551739931714,4,22171000.0,3,0.42993717033819423,-0.12835479367049332,,19448000.0,,19448000.0,,0.0743851596863645,113.49344291721586,现金类资产>总负债;近年盈利稳定;经营现金流稳定;股东回报率较高,星悦康旅,星悦康旅股份有限公司,主板,20190318,0.36,261450000.0,261450000.0,0.0,505010.46875,0.19125,4.57875,4.57875,4.57875,低PB高分红旁路,1231,FY-12-31,cache,可复核,68.85913237643054
03315.HK,20251231,1259341000.0,1259341000.0,420600000.0,7183000.0,838741000.0,2.9941535901093674,1.5307018933420657,930819000.0,-0.15270588648831462,40116000.0,-0.35199225265989553,4,160335000.0,4,3.996784325456177,0.8738657892112872,,40172000.0,3110000.0,43282000.0,,0.07898962772492496,122.17065379374412,现金类资产>总负债;近年盈利稳定;经营现金流稳定;一次性/其他收益占比较高;股东回报率较高,金邦达宝嘉,金邦达宝嘉控股有限公司,主板,20131204,0.68,547945360.0000001,547945360.0000001,0.0,447348.0,0.2463768115942029,12.338550724637685,12.338550724637685,12.338550724637685,低PB高分红旁路,1231,FY-12-31,cache,可复核,66.44617605191164
01778.HK,20251231,2249750000.0,2249750000.0,1466916000.0,19218000.0,782834000.0,1.533659732390948,2.864031821296095,2097055000.0,0.16949478843900234,23987000.0,-0.08544633786947975,4,122453000.0,4,5.104973527327302,0.18818526701963564,,17249000.0,,17249000.0,,0.0631062075555435,122.57058748807488,现金类资产>总负债;近年盈利稳定;经营现金流稳定;股东回报率较高,彩生活,彩生活服务集团有限公司,主板,20140630,0.147,273332856.9113924,273332856.9113924,0.0,182927.9,0.0558227848101265,10.29,10.29,10.29,低PB高分红旁路,1231,FY-12-31,cache,可复核,65.15156667964077
00922.HK,20250331,304260742.32,294498123.75,285991476.81,41148066.87,18269265.50999999,1.0638804544589182,0.07615137830715175,218183774.07,-0.047123485295166856,47136310.74,-0.07369395131137413,4,66863647.65,4,1.4185167782606993,0.11962097184697912,,37352467.08,,37352467.08,,0.1556954684225022,104.80707377086932,现金类资产>总负债;近年盈利稳定;经营现金流稳定;股东回报率较高,安贤园中国,安贤园中国控股有限公司,主板,19991221,0.108,239907220.54054052,239907220.54054052,0.0,173502.2,0.2627027027027027,8.669189189189188,8.669189189189188,8.669189189189188,低PB高分红旁路,0331,FY-03-31,cache,可复核,64.1398478401176
06138.HK,20251231,,,954557282000.0,29305817000.0,,,,14545995000.0,0.04163473534828377,1145550000.0,0.27340716217861316,4,54767480000.0,4,47.808895290471824,0.0,,574650000.0,,574650000.0,,0.18021315844002928,97.46814324357226,非严格净现金;近年盈利稳定;经营现金流稳定;股东回报率较高,哈尔滨银行,哈尔滨银行股份有限公司,主板,20140331,0.29,3188723869.967742,876835300.0,290.0,705018.75,0.0561290322580645,2.5164516129032255,2.5164516129032255,2.5164516129032255,低PB高分红旁路,1231,FY-12-31,cache,可复核,63.24736907638141
00050.HK,20251231,1906763355.06,1906763355.06,308380082.06,20134580.240000002,1598383273.0,6.183159892567284,0.9250286846320949,385902551.44,0.15465587588034357,302909278.52,-0.36091532502943924,4,63159464.94,3,0.20850950901403242,0.40045502525598903,,80447998.96,,80447998.96,,0.04655748587732683,89.41201398576317,现金类资产>总负债;近年盈利稳定;经营现金流稳定;股东回报率较高,香港小轮(集团),香港小轮(集团)有限公司,主板,19210101,4.85,1727928332.985386,1727928332.985386,0.0,539156.574,0.2328810020876826,5.153757828810019,5.153757828810019,5.153757828810019,低PB高分红旁路,1231,FY-12-31,cache,可复核,62.75357048499433
00184.HK,20251231,1220755119.98,1220755119.98,1772934150.88,1164185548.1599998,-552179030.9000001,0.6885507391089936,-0.699612589577125,1459985582.06,0.045671090796993274,232558375.94,0.5054665320629064,4,286780478.98,4,1.2331548060603472,0.26689762580735366,,152122118.84,,152122118.84,,0.1927392087311723,91.86257880952242,现金类资产>有息负债;近年盈利稳定;经营现金流稳定;股东回报率较高,激成投资,激成投资(香港)有限公司,主板,19730224,2.32,789264000.0000001,789264000.0000001,0.0,98623.07692307692,0.2280341880341879,3.063589743589744,3.063589743589744,3.063589743589744,低PB高分红旁路,1231,FY-12-31,cache,可复核,60.36064024346632
