symbol,ts_code,tencent_name,price_hkd,prev_close,latest_open,volume_shares,turnover_hkd,quote_time,pct_chg,latest_high,latest_low,total_mv_hkd,float_mv_hkd,tencent_pe,tencent_pb
00001,00001.HK,长和,66.85,67.0,67.75,399700.0,26989475.0,2026/06/30 09:31:55,-0.22,67.75,66.75,256038470000.0,256038470000.0,21.62,1.49
00002,00002.HK,中电控股,74.05,73.95,73.95,183000.0,13518400.0,2026/06/30 09:32:02,0.14,74.15,73.5,187083660000.0,187083660000.0,17.87,0.88
00003,00003.HK,香港中华煤气,6.66,6.7,6.69,1166336.0,7789624.32,2026/06/30 09:31:38,-0.6,6.72,6.66,124274730000.0,124274730000.0,21.85,0.9
00004,00004.HK,九龙仓集团,18.62,18.5,18.8,7000.0,131600.0,2026/06/30 09:31:51,0.65,18.8,18.8,56903230000.0,56903230000.0,1138.06,0.0
00005,00005.HK,汇丰控股,147.9,147.6,147.5,883361.0,130504882.6,2026/06/30 09:31:58,0.2,148.3,147.5,2541449090000.0,2541449090000.0,15.48,0.54
00006,00006.HK,电能实业,57.1,57.65,57.65,140000.0,7990537.5,2026/06/30 09:32:00,-0.95,57.65,56.8,121686100000.00002,121686100000.00002,19.51,1.47
00007,00007.HK,智富资源投资,0.032,0.032,0.0,0.0,0.0,2026/06/30 09:20:36,0.0,0.0,0.0,107360000.00000001,107360000.00000001,-0.92,0.0
00008,00008.HK,电讯盈科,5.43,5.44,5.44,34538.0,187619.2,2026/06/30 09:31:16,-0.18,5.44,5.42,42070350000.0,42070350000.0,-166.29,0.37
00010,00010.HK,恒隆集团,12.92,12.79,13.0,1000.0,13000.0,2026/06/30 09:31:49,1.02,13.0,13.0,17592110000.0,17592110000.0,12.84,0.0
00012,00012.HK,恒基地产,25.3,25.5,25.4,160000.0,4049738.0,2026/06/30 09:31:51,-0.78,25.4,25.2,122487089999.99998,122487089999.99998,21.67,0.78
00013,00013.HK,和黄医药,16.91,16.77,17.0,126500.0,2144260.0,2026/06/30 09:32:03,0.83,17.02,16.78,14751190000.0,14751190000.0,4.15,1.43
00014,00014.HK,希慎兴业,16.76,16.8,16.6,4000.0,66960.0,2026/06/30 09:31:45,-0.24,16.8,16.6,17212660000.0,17212660000.0,54.64,1.19
00016,00016.HK,新鸿基地产,113.0,113.8,112.3,226358.0,25550277.4,2026/06/30 09:32:02,-0.7,113.6,112.2,327449170000.0,327449170000.0,16.99,1.23
00017,00017.HK,新世界发展,6.47,6.55,6.56,457000.0,2976490.0,2026/06/30 09:32:01,-1.22,6.56,6.46,16282620000.0,16282620000.0,-1.0,1.53
00018,00018.HK,东方传媒集团,0.26,0.26,0.0,0.0,0.0,2026/06/30 09:20:36,0.0,0.0,0.0,623460000.0,623460000.0,46.7,0.0
00019,00019.HK,太古股份公司A,84.05,83.5,83.0,29000.0,2419800.0,2026/06/30 09:32:01,0.66,84.7,81.85,65473940000.00001,65473940000.00001,22.29,3.41
00020,00020.HK,商汤-W,1.34,1.34,1.33,9701000.0,12966000.0,2026/06/30 09:32:04,0.0,1.34,1.33,55887040000.0,56570230000.0,-28.93,0.75
00021,00021.HK,大中华控股,0.073,0.073,0.0,0.0,0.0,2026/06/30 09:20:36,0.0,0.0,0.0,290190000.0,290190000.0,-1.96,0.0
00022,00022.HK,茂盛控股,0.045,0.041,0.043,160000.0,7120.0,2026/06/30 09:31:53,9.76,0.045,0.043,88490000.0,88490000.0,-2.76,4.88
00023,00023.HK,东亚银行,12.73,12.76,13.14,12400.0,159790.0,2026/06/30 09:31:52,-0.24,13.14,12.73,33660330000.0,33660330000.0,9.61,3.21
00025,00025.HK,其士国际,4.19,4.19,0.0,0.0,0.0,2026/06/30 09:20:36,0.0,0.0,0.0,1262310000.0,1262310000.0,-2.67,0.0
00026,00026.HK,中华汽车,57.5,57.5,0.0,0.0,0.0,2026/06/30 09:20:36,0.0,0.0,0.0,2600080000.0,2600080000.0,-14.09,0.0
00027,00027.HK,银河娱乐,30.14,29.82,30.4,1348800.0,40683219.116,2026/06/30 09:32:03,1.07,30.4,29.62,131990320000.0,131990320000.0,12.37,2.62
00028,00028.HK,天安,3.85,3.85,0.0,0.0,0.0,2026/06/30 09:20:36,0.0,0.0,0.0,5644370000.0,5644370000.0,3.19,0.0
00029,00029.HK,达力集团,10.25,10.25,0.0,0.0,0.0,2026/06/30 09:20:36,0.0,0.0,0.0,2436460000.0,2436460000.0,-38.92,0.0
00030,00030.HK,云白国际,0.25,0.25,0.25,20000.0,5000.0,2026/06/30 09:30:00,0.0,0.25,0.25,2378840000.0,2378840000.0,519.39,0.0
00031,00031.HK,航天控股,0.66,0.67,0.66,143120.0,94425.6,2026/06/30 09:31:34,-1.49,0.66,0.66,2036110000.0,2036110000.0,-12.3,0.0
