ts_code,name,hkex_name,announcement_count,flags,latest_titles,hkex_stock_id,hkex_search_url
01451.HK,万成集团股份,MS GROUP HLDGS,4,,"08/06/2026 16:42: POLL RESULTS OF THE ANNUAL GENERAL MEETING HELD ON 8 JUNE 2026 || 03/06/2026 17:18: MONTHLY RETURN OF EQUITY ISSUER ON MOVEMENTS IN SECURITIES FOR THE MONTH ENDED 31 MAY 2026 || 01/06/2026 16:30: CONNECTED TRANSACTION IN RELATION TO RENEWAL OF TENANCY AGREEMENTS || 26/05/2026 17:01: JOINT ANNOUNCEMENT - DELAY IN DESPATCH OF COMPOSITE DOCUMENT RELATING TO MANDATORY UNCONDITIONAL CASH OFFERS BY RAINBOW CAPITAL (HK) LIMITED FOR AND ON BEHALF OF L.V.E.P. HOLDINGS LIMITED TO ACQUIRE ALL THE ISSUED SHARES OF, AND TO CANCEL ALL THE OUTSTANDING OPTIONS OF, MS GROUP HOLDINGS LIMITED (OTHER THAN THE EXCLUDED SHARES AND THE EXCLUDED OPTIONS)",186812,https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=en
00327.HK,百富环球,PAX GLOBAL,1,,01/06/2026 18:09: MONTHLY RETURN OF EQUITY ISSUER ON MOVEMENTS IN SECURITIES FOR THE MONTH ENDED 31 MAY 2026,56792,https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=en
01502.HK,金融街物业,FIN STREET PPT,4,dividend,"12/06/2026 20:02: Articles of Association || 12/06/2026 19:59: (UPDATED) Final Dividend for the Year Ended 31 December 2025 || 12/06/2026 19:57: POLL RESULTS OF THE ANNUAL GENERAL MEETING
HELD ON 12 JUNE 2026&#x3b;
DISTRIBUTION OF ANNUAL DIVIDEND&#x3b; AND
AMENDMENTS TO THE ARTICLES OF ASSOCIATION || 03/06/2026 17:50: Monthly Return of Equity Issuer on Movements in Securities for the month ended 31 May 2026",1000044331,https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=en
06826.HK,昊海生物科技,HAOHAI BIOTEC,13,director_change;dividend,"10/06/2026 20:34: An announcement has just been published by the issuer in the Chinese section of this website, a corresponding version of which may or may not be published in this section || 10/06/2026 20:29: An announcement has just been published by the issuer in the Chinese section of this website, a corresponding version of which may or may not be published in this section || 02/06/2026 20:36: An announcement has just been published by the issuer in the Chinese section of this website, a corresponding version of which may or may not be published in this section || 02/06/2026 15:36: Monthly Return of Equity Issuer on Movements in Securities for the Month ended 31 May 2026 || 01/06/2026 20:54: An announcement has just been published by the issuer in the Chinese section of this website, a corresponding version of which may or may not be published in this section || 29/05/2026 22:29: An announcement has just been published by the issuer in the Chinese section of this website, a corresponding version of which may or may not be published in this section || 29/05/2026 22:27: An announcement has just been published by the issuer in the Chinese section of this website, a corresponding version of which may or may not be published in this section || 29/05/2026 22:25: An announcement has just been published by the issuer in the Chinese section of this website, a corresponding version of which may or may not be published in this section",121858,https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=en
00623.HK,中视金桥,SINOMEDIA,21,share_buyback,18/06/2026 17:06: Next Day Disclosure Return || 17/06/2026 18:07: Next Day Disclosure Return || 16/06/2026 17:36: Next Day Disclosure Return || 15/06/2026 16:56: Next Day Disclosure Return || 12/06/2026 19:06: Next Day Disclosure Return || 11/06/2026 18:24: POLL RESULTS AT THE ANNUAL GENERAL MEETING HELD ON 11 JUNE 2026 || 11/06/2026 16:57: Next Day Disclosure Return || 10/06/2026 17:40: Next Day Disclosure Return,24088,https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=en
01180.HK,汇彩控股,PARADISE ENT,3,director_change,"12/06/2026 19:35: LIST OF DIRECTORS AND THEIR ROLE AND FUNCTION || 12/06/2026 19:33: APPOINTMENT OF INDEPENDENT NON-EXECUTIVE DIRECTOR AND
MEMBER OF AUDIT COMMITTEE || 01/06/2026 16:46: Monthly Return of Equity Issuer on Movements in Securities for the month ended 31 May 2026",2639,https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=en
03315.HK,金邦达宝嘉,GOLDPAC GROUP,2,inside_information;profit_warning,04/06/2026 16:36: MONTHLY RETURN OF EQUITY ISSUER ON MOVEMENTS IN SECURITIES FOR THE MONTH ENDED 31 MAY 2026 || 25/05/2026 18:46: PROFIT WARNING,97361,https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=en
01778.HK,彩生活,COLOUR LIFE,6,director_change,"18/06/2026 18:56: LIST OF DIRECTORS AND THEIR ROLES AND FUNCTIONS || 18/06/2026 18:54: APPOINTMENT OF NON-EXECUTIVE DIRECTORS || 16/06/2026 19:18: POLL RESULTS OF THE ANNUAL GENERAL MEETING
HELD ON 16 JUNE 2026 || 15/06/2026 19:04: LIST OF DIRECTORS AND THEIR ROLES AND FUNCTIONS || 15/06/2026 19:02: RESIGNATION OF NON-EXECUTIVE DIRECTOR
AND
WITHDRAWAL OF RESOLUTION AT THE
ANNUAL GENERAL MEETING TO BE
HELD ON TUESDAY, 16 JUNE 2026 || 08/06/2026 10:55: Monthly Return of Equity Issuer on Movements in Securities for the month ended 31 May 2026",108080,https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=en
02469.HK,粉笔,FENBI,2,inside_information,04/06/2026 16:40: Monthly Return of Equity Issuer on Movements in Securities for the month ended 31 May 2026 || 02/06/2026 18:20: SUPPLEMENTARY ANNOUNCEMENT IN RELATION TO CHANGE OF CONCERT PARTY ARRANGEMENT,1000179689,https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=en
00239.HK,白花油,PAK FAH YEOW,3,,02/06/2026 17:26: Memorandum of Association and Bye-laws (as amended by special resolution passed on 2 June 2026) || 02/06/2026 17:07: POLL RESULTS OF ANNUAL GENERAL MEETING HELD ON 2 JUNE 2026 || 01/06/2026 15:21: MONTHLY RETURN OF EQUITY ISSUER ON MOVEMENTS IN SECURITIES FOR THE MONTH ENDED 31 MAY 2026,424,https://www1.hkexnews.hk/search/titlesearch.xhtml?lang=en
