ts_code,trade_date,close,vol,amount
03399.HK,20260624,1.43,896000.0,1260150.0
00939.HK,20260624,8.49,253201961.0,2167227737.08
00536.HK,20260624,1.11,284000.0,313220.0
03339.HK,20260624,2.67,8710000.0,23135454.0
03366.HK,20260624,0.22,196000.0,43236.0
03336.HK,20260624,4.08,1756000.0,7240380.0
02195.HK,20260624,0.285,50000.0,13500.0
01351.HK,20260624,0.235,62000.0,13746.0
00301.HK,20260624,3.74,3709700.0,12961275.0
06933.HK,20260624,1.77,1912000.0,3512500.0
06919.HK,20260624,3.87,700.0,2485.0
01875.HK,20260624,3.22,430400.0,1436156.0
00666.HK,20260624,13.73,1787560.0,24635372.3
01334.HK,20260624,1.22,1525000.0,1822600.0
00300.HK,20260624,79.9,7969692.0,636116975.9
02465.HK,20260624,13.63,22938000.0,301344875.0
02720.HK,20260624,19.92,67000.0,1339360.0
02726.HK,20260624,114.8,194250.0,21344167.1
06603.HK,20260624,6.02,2998800.0,18544316.0
07489.HK,20260624,3.43,9140445.0,31266858.61
03368.HK,20260624,0.165,5066500.0,835344.0
02313.HK,20260624,40.02,5258466.0,210458187.44
00425.HK,20260624,27.38,7273087.0,200023126.12
00095.HK,20260624,0.138,3362000.0,468462.0
00206.HK,20260624,0.3,1699000.0,508275.0
03318.HK,20260624,2.37,640569.0,1560005.77
02005.HK,20260624,2.21,7666000.0,16865000.0
09600.HK,20260624,0.149,348800.0,51198.4
09668.HK,20260624,0.7,1710000.0,1223635.0
01440.HK,20260624,14.99,1237500.0,18211900.0
06616.HK,20260624,6.95,1190000.0,8482060.0
02418.HK,20260624,2.8,25500.0,71355.0
02167.HK,20260624,3.15,8000.0,25874.0
02407.HK,20260624,5.06,34300.0,173970.0
02402.HK,20260624,13.65,2165477.0,30457589.93
02481.HK,20260624,2.49,1000.0,2490.0
02105.HK,20260624,6.66,2276000.0,15357075.0
09880.HK,20260624,96.7,7924952.0,773593816.1
02511.HK,20260624,2.96,4788500.0,13579525.0
02438.HK,20260624,0.32,2417000.0,748640.0
02512.HK,20260624,2.9,4000.0,11570.0
02431.HK,20260624,8.98,2207444.0,19764793.36
02593.HK,20260624,0.97,62400.0,60672.0
00805.HK,20260624,3.87,3582000.0,13658620.0
08549.HK,20260624,0.223,130000.0,27540.0
09981.HK,20260624,11.7,3197800.0,38244294.0
02706.HK,20260624,60.6,1012000.0,62160760.0
03268.HK,20260624,18.83,540900.0,10117130.0
02692.HK,20260624,56.1,375600.0,21145075.0
03277.HK,20260624,93.25,638110.0,59966628.9
03986.HK,20260624,986.5,3235457.0,3212026742.6
01663.HK,20260624,0.055,338000.0,18536.0
06808.HK,20260624,1.02,10796955.0,10998621.6
08179.HK,20260624,0.01,120000.0,1200.0
06838.HK,20260624,0.24,60000.0,13860.0
01259.HK,20260624,0.03,6460000.0,189869.0
01127.HK,20260624,1.23,80000.0,98200.0
01355.HK,20260624,0.14,120000.0,16860.0
02098.HK,20260624,0.085,1172000.0,91279.0
06828.HK,20260624,0.03,1520000.0,44072.0
00579.HK,20260624,2.01,6363077.0,12788051.69
01145.HK,20260624,0.132,240000.0,32060.0
01146.HK,20260624,0.047,154000.0,7292.0
01115.HK,20260624,0.415,4960000.0,2049250.0
01241.HK,20260624,0.129,12000.0,1550.0
01008.HK,20260624,0.174,2000.0,330.0
08087.HK,20260624,1.75,98000.0,166380.0
06830.HK,20260624,0.222,174000.0,38592.0
01803.HK,20260624,0.085,62500.0,5102.5
08031.HK,20260624,0.355,56000.0,19870.0
01959.HK,20260624,2.29,4996000.0,10944580.0
01930.HK,20260624,0.35,16000.0,5640.0
01931.HK,20260624,0.67,528000.0,350660.0
01952.HK,20260624,25.22,3399000.0,86466664.0
02125.HK,20260624,0.32,99000.0,33010.0
02559.HK,20260624,1.36,620000.0,868590.0
02350.HK,20260624,0.75,515000.0,381600.0
09982.HK,20260624,0.113,9036000.0,958758.0
02442.HK,20260624,68.0,264000.0,17246000.0
02422.HK,20260624,1.74,236000.0,405120.0
02585.HK,20260624,12.42,146400.0,1827230.0
02560.HK,20260624,1.43,46000.0,65380.0
01364.HK,20260624,20.78,5727200.0,117712148.4
02582.HK,20260624,12.49,2840351.0,36271226.11
09660.HK,20260624,4.02,221103811.0,882638003.56
09609.HK,20260624,7.42,120400.0,921390.0
09973.HK,20260624,25.6,1014900.0,25610494.0
02476.HK,20260624,368.0,3877495.0,1446490639.8
