ts_code,ts_latest_close,ts_days,ts_avg_amount_hkd,ts_median_amount_hkd
00001.HK,69.45,20,572316820.3364999,564341633.3
00002.HK,73.15,20,264222230.8835,243468364.85000002
00003.HK,6.76,20,222168880.3265,189476955.985
00004.HK,18.72,20,191150959.5315,59135584.36
00005.HK,149.0,20,2551250497.1427,2411853737.6
00006.HK,56.2,20,330075339.566,337934228.065
00008.HK,5.45,20,62942366.0855,56645520.215
00010.HK,13.02,20,9107470.989,8256314.625
00012.HK,25.84,20,308366547.15929997,308756614.74
00013.HK,16.42,20,67007046.376499996,59292766.125
00014.HK,16.58,20,74636917.098,42681968.480000004
00016.HK,112.7,20,929181737.666,890493903.49
00017.HK,7.04,20,43814925.964499995,43948573.144999996
00018.HK,0.26,17,49507.05882352941,37620.0
00019.HK,83.05,20,87043359.37799999,70419245.175
00020.HK,1.48,20,820048823.164,800111333.54
00021.HK,0.082,14,740828.2142857143,120612.5
00022.HK,0.045,20,550339.16865,391840.0
00023.HK,12.74,20,15272580.342500001,11192627.3
00025.HK,4.19,11,82693.63636363637,50340.0
00026.HK,57.15,18,307544.26111111115,213095.0
00027.HK,30.1,20,418323635.14235,385936128.78999996
00028.HK,3.78,19,7834368.801052632,610210.0
00029.HK,10.21,20,890606.9415,624859.6
00030.HK,0.221,20,195829.7,115911.0
00031.HK,0.72,20,13205338.68,10766161.15
00032.HK,7.81,18,221955.55,139150.105
00034.HK,4.62,20,632597.2785,544916.87
00035.HK,0.7,20,274595.57149999996,198962.5
00037.HK,0.5,20,204419.5,130560.0
00038.HK,6.83,20,28483747.9305,25854356.555
00040.HK,0.74,20,83866.49799999999,56435.0
00041.HK,14.9,20,5494870.8935,4211356.535
00042.HK,0.3,19,116181.57894736843,88080.0
00045.HK,5.29,20,683247.424,694305.0
00046.HK,1.25,13,67325.84923076924,43440.0
00048.HK,0.35,18,75618.44444444444,54583.0
00050.HK,4.77,20,512279.8615,381510.99
00051.HK,4.5,10,60613.0,47915.0
00052.HK,4.19,20,356183.27999999997,174910.0
00053.HK,68.3,19,823492.6315789474,621400.0
00055.HK,0.145,7,14187.457142857142,13170.0
00057.HK,1.63,16,131883.75,130080.0
00058.HK,0.244,11,42933.98181818182,35200.0
00060.HK,0.52,7,16660.0,13480.0
00061.HK,0.064,16,20730.7078125,8394.6
00062.HK,9.28,20,1649548.0055,1253302.0
00063.HK,0.044,8,5018.5,1182.0
00064.HK,3.31,20,1150163.615,323754.95
00065.HK,0.2,16,23941.472687499998,7080.0
00066.HK,31.52,20,215106359.1014,172987877.29
00068.HK,14.2,20,110842382.8415,80902945.45
00069.HK,4.02,20,2267250.293,2011420.0
00070.HK,0.049,11,9069.181818181818,9600.0
00071.HK,10.05,20,578082.725,452615.0
00072.HK,0.26,7,13708.0,9834.0
00073.HK,2.0,10,26963.725,8386.65
00075.HK,0.163,15,3326.010933333333,2146.0
00076.HK,0.13,17,34320.527411764706,29573.0
00077.HK,0.44,10,53878.2,31820.0
00078.HK,0.46,20,118021.896,87455.0
00079.HK,0.089,6,28435.958333333332,11216.0
00080.HK,0.295,20,535700.5055,348625.0
00081.HK,2.43,20,22554147.706,17657535.0
00082.HK,0.082,20,423072.3,312369.0
00083.HK,10.95,20,158278672.33499998,115586072.325
00084.HK,0.063,5,20819.2,4475.0
00085.HK,1.09,20,3121848.15,2935479.5
00086.HK,4.07,20,1655898.476,1597115.0
00087.HK,12.66,20,12990370.252,12689761.71
00088.HK,3.5,19,735894.5499999999,671840.0
00089.HK,1.96,7,31385.114285714284,8520.0
00090.HK,1.1,18,376412.22222222225,182100.0
00092.HK,0.188,18,83470.97277777777,22020.8155
00093.HK,0.4,8,12327.5,9090.0
00094.HK,0.053,16,31055.0,22040.0
00095.HK,0.16,20,467821.77079999994,306137.0
00096.HK,0.49,11,65644.94545454545,8774.4
00097.HK,0.15,20,86672.06265,51127.0
00098.HK,7.0,16,373987.5,98205.0
00099.HK,1.25,2,85655.0,85655.0
00100.HK,497.6,20,1712523509.6416001,1554835104.65
00101.HK,7.36,20,70601848.989,65759912.44
00103.HK,1.98,20,264212.8,112480.0
00104.HK,0.25,16,159494.95,57765.0
00105.HK,5.25,2,31560.0,31560.0
00107.HK,4.72,20,19807539.302,15905791.1
00108.HK,2.04,20,6321287.5,5099020.0
00110.HK,0.315,14,392718.5,46050.0
00111.HK,0.61,20,294443.0,146750.0
00113.HK,6.24,20,774250.868,239699.53
00114.HK,0.62,16,105959.375,55875.0
00115.HK,7.95,4,2449.625,2030.0
00116.HK,10.28,20,10475671.8035,9332750.5
00117.HK,6.51,20,178070619.5765,159901961.68
00118.HK,0.247,20,439860.14,329469.0
00119.HK,1.67,20,29747733.393,26693195.0
00120.HK,0.056,16,36962.475,34162.8
00122.HK,1.41,15,71633.15,51120.0
00123.HK,3.79,20,42825818.792,35009954.93
00124.HK,0.214,20,203638.53884999998,175402.0065
00125.HK,0.295,8,24617.5,10495.0
00126.HK,0.122,5,9738.0,11992.0
00127.HK,1.09,20,244071.0,204995.0
